,link_stub,artist,title,sleeve,rlabel,rformat,country,release_dt,genre,style,rating,media,price,votes,haves,wants
Michael Naura Quintet* - European Jazz Sounds,/sell/item/1149123138,Michael Naura Quintet*,European Jazz Sounds,Very Good (VG),Brunswick,"Vinyl, LP, Album, Mono",Germany,1963-01-15,Jazz,"Hard Bop, Modal",4.7,Near Mint (NM or M-),450,10.0,26.0,188.0
Yusef Lateef And His Jazz Quintet* - The Fabric Of Jazz,/sell/item/542231823,Yusef Lateef And His Jazz Quintet*,The Fabric Of Jazz,Very Good Plus (VG+),Savoy Records,"Vinyl, LP, Album, Stereo",US,1959-01-15,Jazz,"Hard Bop, Modal",5.0,Very Good Plus (VG+),450,3.0,23.0,116.0
"Art Blakey Quintet - A Night At Birdland, Volume 1",/sell/item/1068076297,Art Blakey Quintet,"A Night At Birdland, Volume 1",Very Good Plus (VG+),Blue Note,"Vinyl, LP, Compilation, Mono",US,1956-07-15,Jazz,Hard Bop,4.6,Very Good Plus (VG+),450,20.0,149.0,365.0
The Miles Davis Quintet - Steamin' With The Miles Davis Quintet,/sell/item/1278449952,The Miles Davis Quintet,Steamin' With The Miles Davis Quintet,Near Mint (NM or M-),Prestige,"Vinyl, LP, Album, Mono",US,1961-01-15,Jazz,Hard Bop,4.57,Near Mint (NM or M-),450,83.0,836.0,645.0
John Coltrane - Lush Life,/sell/item/678616561,John Coltrane,Lush Life,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album, Mono",US,1961-01-15,Jazz,Hard Bop,4.51,Very Good Plus (VG+),449,76.0,573.0,636.0
Donald Byrd - Fuego,/sell/item/985715724,Donald Byrd,Fuego,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1960-06-15,Jazz,Hard Bop,4.7,Very Good Plus (VG+),449,40.0,241.0,395.0
Donald Byrd - Byrd In Flight,/sell/item/1264945524,Donald Byrd,Byrd In Flight,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono, No P/No DG",US,1966-01-15,Jazz,"Hard Bop, Latin Jazz",5.0,Very Good (VG),445,1.0,0.0,9.0
Jackie McLean - New Soil,/sell/item/1130302860,Jackie McLean,New Soil,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1959-01-15,Jazz,Hard Bop,4.81,Very Good Plus (VG+),439,21.0,139.0,330.0
Gigi Gryce Featuring Richard Williams - The Rat Race Blues,/sell/item/1121588080,Gigi Gryce Featuring Richard Williams,The Rat Race Blues,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album, Reissue, Mono",US,1964-01-15,"Jazz, Blues","Hard Bop, Modal",5.0,Near Mint (NM or M-),425,1.0,2.0,14.0
Sonny Clark Trio - Sonny Clark Trio,/sell/item/590151315,Sonny Clark Trio,Sonny Clark Trio,Very Good (VG),Time Records (3),"Vinyl, LP, Album",US,1960-04-15,Jazz,Hard Bop,4.7,Good Plus (G+),425,10.0,38.0,203.0
