Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
"Arnett Cobb And Eddie ""Lockjaw"" Davis – Blow, Arnett, Blow","Prestige – 7151, Prestige – PRST 7151",US,"Vinyl, LP, Album, Stereo",Jazz,1959,"Hard Bop, Soul-Jazz","Rated 4.33 of 6 votes (66 have, 33 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,nan,nan,$45.00
Red Garland – Red In Bluesville,"Prestige – PRLP 7157, Prestige – 7157",US,"Vinyl, LP, Album, Mono","Jazz, Blues",1959,Hard Bop,"Rated 4.67 of 12 votes (153 have, 137 want)",Very Good (VG),Sleeve: Fair (F),100.0%,nan,"Abbey Record Manufacturing Co., Inc.",$45.00
John Coltrane – The Believer,"Prestige – PR 7292, Prestige – PRST 7292",US,"Vinyl, LP, Album, Stereo",Jazz,1964,Hard Bop,"Rated 3.20 of 5 votes (35 have, 77 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$45.00
John Coltrane With The Red Garland Trio – Traneing In,"Prestige – 7123, Prestige – PRLP 7123",US,"Vinyl, LP, Album, Reissue, Repress, Mono, Blue Trident Label",Jazz,1964,Hard Bop,"Rated 4.50 of 6 votes (43 have, 105 want)",Near Mint (NM or M-),Sleeve: Good Plus (G+),100.0%,nan,nan,$45.00
John Coltrane – Stardust,"Prestige – PRST 7268, Prestige – PR 7268",US,"Vinyl, LP, Album, Remastered, Stereo",Jazz,1963,Hard Bop,"Rated 4.67 of 6 votes (63 have, 152 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.7%,nan,nan,$45.00
Rita Reys – The Cool Voice Of Rita Reys,Columbia – CL 903,US,"Vinyl, LP, Album, Mono",Jazz,1956,"Hard Bop, Bop","Rated 4.33 of 6 votes (68 have, 103 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$45.00
Howard McGhee And Milt Jackson – Howard McGhee And Milt Jackson,London Savoy Records – MG-12026,Canada,"Vinyl, LP, Album, Mono",Jazz,1955,"Bop, Hard Bop","No Rating Yet (4 have, 4 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.5%,nan,nan,$45.00
Getz* Meets Mulligan* – Getz Meets Mulligan,Columbia – 33CX 10120,UK,"Vinyl, LP, Album",Jazz,1958,"Bop, Hard Bop","Rated 4.67 of 3 votes (50 have, 44 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.0%,nan,nan,$45.00
Art Blakey & The Jazz Messengers – At The Jazz Corner Of The World (Volume 2),"Blue Note – BST 84016, Blue Note – BLP 4016, Blue Note – BLP-4016/84016",US,"Vinyl, LP, Album, Reissue, Stereo, Liberty Pressing",Jazz,1966,Hard Bop,"Rated 4.75 of 4 votes (67 have, 46 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,Birdland,nan,$45.00
Shelly Manne & His Men – Vol. 4 - Swinging Sounds,Contemporary Records – C 3516,US,"Vinyl, LP, Album",Jazz,1956,"Hard Bop, Cool Jazz","Rated 4.06 of 17 votes (195 have, 39 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.0%,nan,nan,$45.00
