Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Miles Davis – 'Round About Midnight,Columbia – CL 949,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,"Rated 4.57 of 23 votes (219 have, 278 want)",Very Good (VG),Sleeve: Good Plus (G+),99.9%,nan,nan,$75.00
The Modern Jazz Quartet Guest Artist: Jimmy Giuffre – The Modern Jazz Quartet At Music Inn,Atlantic – 1247,US,"Vinyl, LP, Album, Mono",Jazz,1956,"Hard Bop, Cool Jazz","Rated 3.91 of 32 votes (457 have, 50 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.6%,"Music Inn, Lenox, MA",nan,$75.00
The Tubby Hayes Quintet – Late Spot At Scott's,"Fontana – 687 307 TL, Fontana – TL 5200",UK,"Vinyl, LP, Album, Mono",Jazz,1963,"Hard Bop, Modal","Rated 4.67 of 3 votes (28 have, 100 want)",Good Plus (G+),Sleeve: Very Good (VG),99.6%,nan,nan,$75.00
The Horace Silver Quintet – Song For My Father (Cantiga Para Meu Pai),"Blue Note – BST 84185, Blue Note – ST-84185, Blue Note – 84185",US,"Vinyl, LP, Album, Stereo",Jazz,Dec 1964,"Hard Bop, Latin Jazz","Rated 4.64 of 87 votes (731 have, 1016 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,Plastylite,$75.00
The Billy Wallace Trio – B.W.,GIG Records (7) – GLP 101,US,"Vinyl, LP, Album",Jazz,1957,Hard Bop,"Rated 5.00 of 1 votes (4 have, 11 want)",Near Mint (NM or M-),Sleeve: Good Plus (G+),100.0%,nan,nan,$75.66
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,"Blue Note – 4003, Blue Note – BLP 4003",US,"Vinyl, LP, Album, Mono",Jazz,Nov 1958,Hard Bop,"Rated 4.60 of 156 votes (877 have, 1920 want)",Good (G),Sleeve: Poor (P),99.7%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$75.00
Gene Norman Presents Max Roach And Clifford Brown* – In Concert Vol 1,"Vogue Records – L.D.E. 117, Gene Norman Presents – L.D.E.117",UK,"Vinyl, LP, 10"", Album",Jazz,1955,Hard Bop,"No Rating Yet (21 have, 33 want)",Very Good (VG),Sleeve: Very Good (VG),99.9%,nan,nan,$75.00
Hampton Hawes – This Is Hampton Hawes Vol. 2: The Trio,"Contemporary Records – C 3515, Contemporary Records – C3515",US,"Vinyl, LP, Album, Mono",Jazz,1956,"Hard Bop, Bop","Rated 4.64 of 14 votes (119 have, 75 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,nan,nan,$75.00
Miles Davis – Collectors' Items,"Prestige – PRLP 7044, Prestige – LP 7044, Prestige – 7044",US,"Vinyl, LP, Album, Mono",Jazz,1958,"Bop, Hard Bop","Rated 4.31 of 16 votes (153 have, 93 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,WOR Studios,"Abbey Record Manufacturing Co., Inc.",$75.00
Horace Silver Quintet* / Sextet* – The Jody Grind,Blue Note – BLP 4250,US,"Vinyl, LP, Album, Mono, Gatefold",Jazz,1967,"Soul-Jazz, Hard Bop","Rated 4.42 of 52 votes (381 have, 230 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey","All Disc Records, Inc.",$75.62
Elmo Hope Sextet And Trio* – Homecoming!,Riverside Records – RLP 381,US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,"Rated 4.00 of 2 votes (41 have, 61 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,Bell Sound Studios,nan,$75.00
Paul Chambers Sextet – Whims Of Chambers,Blue Note – BLP 1534,US,"Vinyl, LP, Album, Mono, NY23",Jazz,1957,Hard Bop,"Rated 4.60 of 5 votes (27 have, 160 want)",Fair (F),Sleeve: Fair (F),99.4%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$75.00
Miles Davis Sextet* – Someday My Prince Will Come,Columbia – CS 8456,US,"Vinyl, LP, Album, Stereo",Jazz,1961,Hard Bop,"Rated 4.42 of 57 votes (654 have, 268 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,nan,nan,$75.00
Rita Reys – The Cool Voice Of Rita Reys,Columbia – CL 903,US,"Vinyl, LP, Album, Mono",Jazz,1956,"Hard Bop, Bop","Rated 4.33 of 6 votes (68 have, 103 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.6%,nan,nan,$76.99
John Coltrane – My Favorite Things,Atlantic – 1361,US,"Vinyl, LP, Album, Mono",Jazz,1961,"Hard Bop, Modal","Rated 4.60 of 121 votes (844 have, 1118 want)",Very Good (VG),Sleeve: Very Good (VG),95.9%,Atlantic Studios,nan,$75.00
Miles Davis – Bags Groove,Prestige – 7109,US,"Vinyl, LP, Compilation, Mono",Jazz,1957,"Bop, Hard Bop","Rated 4.38 of 42 votes (328 have, 574 want)",Very Good (VG),Sleeve: Very Good (VG),99.5%,nan,nan,$75.00
The Horace Silver Quintet – Finger Poppin' With The Horace Silver Quintet,Blue Note – BLP-4008,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Bop, Hard Bop","Rated 4.44 of 48 votes (345 have, 300 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$75.00
Miles Davis All Stars – Walkin',Prestige – PRLP 7076,US,"Vinyl, LP, Album, Compilation, Mono",Jazz,1957,Hard Bop,"Rated 4.50 of 30 votes (311 have, 340 want)",Good Plus (G+),Sleeve: Good (G),99.0%,nan,"Abbey Record Manufacturing Co., Inc.",$76.90
Booker Ervin – The Freedom Book,"Prestige – PR 7295, Prestige – PRLP 7295",US,"Vinyl, LP, Album, Repress, Mono",Jazz,1964,Hard Bop,"Rated 4.90 of 10 votes (23 have, 57 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$75.00
Dexter Gordon – The Tower Of Power!,"Prestige – PR 7623, Prestige – PRST 7623",US,"Vinyl, LP, Album",Jazz,1969,Hard Bop,"Rated 4.05 of 21 votes (203 have, 72 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$75.00
The Dave Brubeck Quartet – Time Out,Columbia – CS 8192,US,"Vinyl, LP, Album, Repress, Stereo, 6-Eye Columbia Label",Jazz,1960,"Bop, Hard Bop","Rated 5.00 of 6 votes (119 have, 169 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,nan,"Columbia Records Pressing Plant, Pitman",$75.00
Donald Byrd – Electric Byrd,Blue Note – BST 84349,US,"Vinyl, LP, Album",Jazz,1970,"Hard Bop, Modal, Latin Jazz","Rated 4.50 of 16 votes (177 have, 354 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$75.00
Thelonious Monk – Brilliant Corners,Riverside Records – RLP 12-226,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1958,Hard Bop,"Rated 4.85 of 52 votes (350 have, 402 want)",Very Good (VG),Sleeve: Very Good (VG),99.0%,Reeves Sound Studios,nan,$77.07
Benny Green* – The Swingin'est,Vee Jay Records – VJLP-1005,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Hard Bop, Swing","Rated 3.50 of 4 votes (63 have, 47 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$75.00
Donald Byrd – Mustang!,Blue Note – BNST 84238,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1968,"Hard Bop, Post Bop","Rated 5.00 of 3 votes (32 have, 87 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Research Craft,$75.00
Roland Kirk – Here Comes The Whistleman,Atlantic – 3007,US,"Vinyl, LP, Album, Promo, Mono",Jazz,1967,Hard Bop,"Rated 5.00 of 1 votes (3 have, 11 want)",Very Good Plus (VG+),Sleeve: Not Graded,100.0%,nan,nan,$75.00
Miles Davis Quartet* – The Musings Of Miles,Prestige – PRLP-7007,US,"Vinyl, LP, Album, Club Edition, Mono, Columbia Record Club",Jazz,Dec 1955,"Hard Bop, Bop","Rated 4.00 of 18 votes (194 have, 290 want)",Good Plus (G+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Columbia Records Pressing Plant, Bridgeport",$75.00
Kenny Dorham – Kenny Dorham/1959,"Prestige – PR 7754, Prestige – PRST 7754",US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1970,"Cool Jazz, Hard Bop","Rated 4.50 of 6 votes (49 have, 116 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$75.00
The Ray Draper Quintet Featuring John Coltrane – The Ray Draper Quintet Featuring John Coltrane,"New Jazz – NJLP 8228, Status Records (2) – 8228",US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 5.00 of 1 votes (3 have, 20 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,nan,nan,$75.00
The Horace Silver Quintet – Horace-Scope,Blue Note – BST-84042,US,"Vinyl, LP, Album",Jazz,1966,Hard Bop,"Rated 4.40 of 5 votes (78 have, 91 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),98.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$75.00
The Thelonious Monk Orchestra – At Town Hall,"Riverside Records – RLP 12-300, Riverside Records – 12-300",US,"Vinyl, LP, Album, Mono",Jazz,1959,"Bop, Hard Bop","Rated 4.26 of 38 votes (453 have, 126 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Town Hall, New York",nan,$75.00
The Horace Silver Quintet & Trio* – Blowin' The Blues Away,Blue Note – BLP 4017,US,"Vinyl, LP, Album, Mono, Microgroove",Jazz,Oct 1959,Hard Bop,"Rated 4.62 of 78 votes (682 have, 361 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$75.00
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1085 have, 1716 want)",Good (G),Sleeve: Good (G),99.6%,nan,Plastylite,$75.00
Miles Davis – Volume 1,"Blue Note – BLP 1501, Blue Note – BST 81501",US,"Vinyl, LP, Compilation, Reissue, Remastered, Stereo, Liberty Pressing",Jazz,1966,Hard Bop,"No Rating Yet (4 have, 7 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,WOR Studios,nan,$75.00
Thelonious Monk Quartet* – Misterioso,Riverside Records – RLP 279,US,"Vinyl, LP, Album, Mono",Jazz,1961,"Bop, Hard Bop","Rated 4.11 of 9 votes (90 have, 96 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.8%,Five Spot Café,nan,$75.00
"Thelonious Monk With Sonny Rollins, Ernie Henry And Clark Terry – Brilliant Corners",Riverside Records – RS 1174,US,"Vinyl, LP, Album, Repress, Stereo",Jazz,1960,Hard Bop,"Rated 4.33 of 9 votes (44 have, 311 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Reeves Sound Studios,nan,$75.00
Miles Davis – Miles Davis And The Modern Jazz Giants,"Prestige – PR 7650, Prestige – PRST 7650",US,"Vinyl, LP, Compilation, Remastered, Stereo",Jazz,1969,Hard Bop,"Rated 4.67 of 9 votes (95 have, 26 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$75.00
The Incredible Jimmy Smith* – Home Cookin',Blue Note – BLP 4050,US,"Vinyl, LP, Album, Mono",Jazz,Jan 1961,"Hard Bop, Soul-Jazz","Rated 4.36 of 14 votes (201 have, 104 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$75.00
Grant Green – Feelin' The Spirit,Blue Note – BST 84132,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1968,"Hard Bop, Soul-Jazz","Rated 4.44 of 9 votes (58 have, 164 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$76.00
Eric Dolphy – Out There,"Prestige – PR 7652, Prestige – PRST 7652",US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1969,"Hard Bop, Free Jazz, Modal","Rated 4.65 of 20 votes (127 have, 140 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$75.00
The Poll Winners – The Poll Winners,Contemporary Records – C 3535,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,"Rated 4.06 of 18 votes (229 have, 88 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,Contemporary's Studio,nan,$75.00
The Horace Silver Quintet – Doin' The Thing - At The Village Gate,Blue Note – BLP 4076,US,"Vinyl, LP, Album, Mono",Jazz,Aug 1961,Hard Bop,"Rated 4.28 of 53 votes (598 have, 245 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Village Gate,Plastylite,$75.00
Miles Davis – Miles Davis At Carnegie Hall,Columbia – CL 1812,US,"Vinyl, LP, Album, Mono",Jazz,1962,"Hard Bop, Modal","Rated 4.41 of 39 votes (602 have, 190 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$75.00
Ken McIntyre – Stone Blues,"Prestige – NJ 8259, New Jazz – NJ 8259, New Jazz – PRNJ 8259",US,"Vinyl, LP, Album, Mono",Jazz,1961,"Hard Bop, Post Bop","Rated 4.25 of 12 votes (70 have, 127 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$75.00
The Horace Silver Quintet Plus J.J. Johnson – The Cape Verdean Blues,Blue Note – BLP 4220,US,"Vinyl, LP, Album, Mono",Jazz,Dec 1965,"Hard Bop, Post Bop, Latin Jazz","Rated 4.50 of 50 votes (348 have, 320 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$75.00
Eric Dolphy – Outward Bound,"Prestige – PRST 7311, Prestige – PR 7311, Prestige – 7311",US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,Oct 1964,"Hard Bop, Post Bop","Rated 4.50 of 2 votes (23 have, 49 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$75.00
Sonny Stitt – Sonny Stitt,Argo (6) – LP 629,US,"Vinyl, LP, Album, Mono, High Fidelity",Jazz,1958,Hard Bop,"Rated 4.43 of 7 votes (120 have, 50 want)",Mint (M),Sleeve: Mint (M),99.4%,nan,nan,$75.00
Kenny Dorham Quartet Featuring Ernie Henry – 2 Horns/2 Rhythm,Riverside Records – RLP 12-255,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,"Rated 4.00 of 3 votes (56 have, 94 want)",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,nan,nan,$75.00
"Various – The Playboy Jazz All-Stars, Volume 3",Playboy Records – PB1959S,US,"3 × Vinyl, LP, Album, Stereo
Box Set, Compilation",Jazz,1960,"Cool Jazz, Dixieland, Swing, Hard Bop, Big Band, Bop","Rated 4.33 of 9 votes (177 have, 49 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),97.3%,Playboy Jazz Festival,nan,$75.00
The Milt Jackson Quartet Featuring Horace Silver – Soul Pioneers,"Prestige – PR 7224, Prestige – PRLP 7224",US,"Vinyl, LP, Album, Mono, Reissue",Jazz,1962,"Hard Bop, Soul-Jazz","Rated 4.29 of 14 votes (138 have, 49 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$76.47
The Horace Silver Quintet & Trio* – Blowin' The Blues Away,Blue Note – BLP 4017,US,"Vinyl, LP, Album, Mono, Microgroove",Jazz,Oct 1959,Hard Bop,"Rated 4.62 of 78 votes (682 have, 361 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$75.00
The Thelonious Monk Quartet – Monk's Dream,Columbia – CL 1965,US,"Vinyl, LP, Album, Mono",Jazz,1963,Hard Bop,"Rated 4.54 of 130 votes (1317 have, 888 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,nan,nan,$75.55
The Modern Jazz Disciples – Right Down Front,New Jazz – NJLP-8240,US,"Vinyl, LP, Album, Mono",Jazz,1960,"Hard Bop, Soul-Jazz","Rated 4.40 of 5 votes (55 have, 52 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$75.00
Art Farmer – Evening In Casablanca,New Jazz – NJLP 8289,US,"Vinyl, LP, Album, Mono, Reissue",Jazz,1963,Hard Bop,"Rated 5.00 of 2 votes (41 have, 49 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,nan,nan,$75.00
Shelly Manne / Bill Evans With Monty Budwig – Empathy,Verve Records – V-8497,US,"Vinyl, LP, Album, Mono, Gatefold.",Jazz,1962,"Hard Bop, Post Bop","Rated 4.27 of 26 votes (232 have, 88 want)",Mint (M),Sleeve: Near Mint (NM or M-),99.1%,nan,nan,$75.00
Willis Jackson Quintet – Please Mr. Jackson,Prestige – PR 7162,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Hard Bop, Soul-Jazz","Rated 4.33 of 9 votes (114 have, 84 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.3%,"Van Gelder Studio, Hackensack, New Jersey",nan,$75.00
The Incredible Jimmy Smith* – Crazy! Baby,"Blue Note – 4030, Blue Note – BLP 4030",US,"Vinyl, LP, Album, Repress, Mono",Jazz,1962,Hard Bop,"Rated 3.53 of 17 votes (304 have, 75 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$75.00
Charlie Mingus* – Tijuana Moods,RCA Victor – LSP-2533,US,"Vinyl, LP, Album, Remastered, Stereo",Jazz,1962,Hard Bop,"Rated 4.70 of 50 votes (407 have, 207 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,RCA Studio A,nan,$75.00
Charlie Mingus* – Tijuana Moods,RCA Victor – LSP-2533,US,"Vinyl, LP, Album, Remastered, Stereo",Jazz,1962,Hard Bop,"Rated 4.70 of 50 votes (407 have, 207 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,RCA Studio A,nan,$75.00
Dexter Gordon – The Tower Of Power!,"Prestige – PR 7623, Prestige – PRST 7623",US,"Vinyl, LP, Album",Jazz,1969,Hard Bop,"Rated 4.05 of 21 votes (203 have, 72 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$75.00
Monk* – Monk.,Columbia – CS 9091,US,"Vinyl, LP, Album, Stereo",Jazz,1965,Hard Bop,"Rated 4.33 of 84 votes (998 have, 284 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,nan,nan,$75.00
Milt Jackson – Bags & Flutes,Atlantic – 1294,US,"Vinyl, LP, Album, Mono",Jazz,1959,Hard Bop,"Rated 4.14 of 7 votes (126 have, 45 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$75.00
The New Dynamic Chico Hamilton Quintet* – Drumfusion,Columbia – CS 8607,US,"Vinyl, LP, Album, Stereo",Jazz,1962,"Hard Bop, Post Bop","Rated 4.50 of 6 votes (77 have, 92 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.6%,nan,nan,$75.00
The Cannonball Adderley Quintet – At The Lighthouse,Riverside Records – RLP 9344,US,"Vinyl, LP, Album",Jazz,1960,"Soul-Jazz, Bop, Hard Bop","Rated 4.23 of 26 votes (223 have, 71 want)",Very Good (VG),Sleeve: Near Mint (NM or M-),99.3%,"The Lighthouse, Hermosa Beach",nan,$77.00
John Coltrane – Bahia,"Prestige – PRST- 7353, Prestige – PR 7353, Prestige – 7353",US,"Vinyl, LP, Album, Stereo",Jazz,May 1965,Hard Bop,"Rated 4.21 of 24 votes (188 have, 143 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$75.00
Art Blakey & The Jazz Messengers – Art Blakey & The Jazz Messengers,Impulse! – AS-7,US,"Vinyl, LP, Album, Repress, Stereo",Jazz,1965,Hard Bop,"Rated 4.50 of 2 votes (28 have, 48 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$75.42
The Thelonious Monk Orchestra – At Town Hall,"Riverside Records – RLP 12-300, Riverside Records – 12-300",US,"Vinyl, LP, Album, Mono",Jazz,1959,"Bop, Hard Bop","Rated 4.26 of 38 votes (453 have, 126 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.0%,"Town Hall, New York",nan,$76.46
John Coltrane – My Favorite Things,Atlantic – 1361,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1962,"Hard Bop, Modal","Rated 4.87 of 15 votes (125 have, 399 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),92.6%,nan,nan,$76.47
John Coltrane – Selflessness Featuring My Favorite Things,"Impulse! – AS-9161, ABC Records – AS-9161",US,"Vinyl, LP, Album, Stereo, Gatefold",Jazz,1968,"Hard Bop, Free Jazz","Rated 4.50 of 8 votes (123 have, 55 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,Newport Jazz Festival,nan,$75.00
The Horace Silver Quintet – Doin' The Thing - At The Village Gate,Blue Note – BLP 4076,US,"Vinyl, LP, Album, Mono",Jazz,Aug 1961,Hard Bop,"Rated 4.28 of 53 votes (598 have, 245 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Village Gate,Plastylite,$75.00
John Coltrane – Coltrane Plays The Blues,Atlantic – 1382,US,"Vinyl, LP, Album, Mono",Jazz,1962,"Hard Bop, Modal","Rated 4.15 of 52 votes (489 have, 398 want)",Very Good (VG),Sleeve: Very Good (VG),99.4%,Atlantic Studios,MGM Custom Pressing Division,$75.00
Jay Jay Johnson* – The Eminent Jay Jay Johnson Volume 1,Blue Note – BLP 1505,US,"Vinyl, LP, Compilation, Mono",Jazz,1955,"Bop, Hard Bop","Rated 4.65 of 17 votes (156 have, 250 want)",Good Plus (G+),Sleeve: Very Good (VG),99.5%,WOR Studios,Plastylite,$75.00
Hank Mobley – The Turnaround,Blue Note – BST-84186,US,"Vinyl, LP, Album, Stereo, Reissue",Jazz,1970,Hard Bop,"Rated 4.36 of 11 votes (88 have, 127 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$75.00
The Horace Silver Quintet – The Stylings Of Silver,Blue Note – BLP 1562,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1957,Hard Bop,"Rated 4.33 of 21 votes (145 have, 146 want)",Good Plus (G+),Sleeve: Good Plus (G+),99.7%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$75.00
Clifford Brown – Memorial Album,Blue Note – BLP 1526,US,"Vinyl, LP, Compilation, Repress, Mono",Jazz,1962,"Bop, Hard Bop","Rated 4.69 of 13 votes (102 have, 87 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.5%,nan,nan,$75.00
Terumasa Hino And His Group – Feelin' Good,"Takt Jazz Series – XMS-10001-CT, Columbia – XMS-10001-CT",Japan,"Vinyl, LP, Album, Gatefold Sleeve",Jazz,1968,"Modal, Post Bop, Hard Bop, Big Band, Jazz-Funk","Rated 4.67 of 3 votes (22 have, 88 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,nan,nan,$77.00
