Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
"The Incredible Jimmy Smith* – At Club ""Baby Grand"" Wilmington, Delaware, Volume 1",Blue Note – BLP 1528,US,"Vinyl, LP, Album, Mono",Jazz,1956,"Soul-Jazz, Hard Bop","Rated 4.45 of 11 votes (125 have, 184 want)",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,Club Baby Grand,Plastylite,$75.00
Booker Ervin – Structurally Sound,Pacific Jazz – ST-20119,US,"Vinyl, LP, Album, Stereo, Gatefold",Jazz,1967,Hard Bop,"Rated 1.00 of 1 votes (13 have, 35 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$75.00
The Miles Davis Quintet – Steamin' With The Miles Davis Quintet,"Prestige – 7200, Prestige – PRLP 7200",US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,"Rated 4.57 of 83 votes (836 have, 646 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,nan,"Abbey Record Manufacturing Co., Inc.",$76.00
The Dave Brubeck Quartet – Time Out,Columbia – CL 1397,US,"Vinyl, LP, Album, Reissue, Repress, Mono",Jazz,1961,"Bop, Hard Bop","Rated 4.76 of 17 votes (238 have, 351 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,nan,nan,$76.32
Roy Haynes & George Otsuka Trio – Groovin' With My Soul Brother,Victor World Group – SMJ-7506,Japan,"Vinyl, LP, Album",Jazz,1968,"Hard Bop, Post Bop","No Rating Yet (6 have, 71 want)",Very Good (VG),Sleeve: Very Good (VG),99.7%,nan,nan,$75.00
Grant Green – Grant's First Stand,Blue Note – BST 84064,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1966,"Hard Bop, Soul-Jazz","Rated 4.80 of 10 votes (48 have, 158 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$75.00
Art Blakey – Orgy In Rhythm - Volume One,Blue Note – BST 1554,US,"Vinyl, LP, Album, Stereo","Jazz, Latin",Aug 1959,"Afro-Cuban Jazz, Hard Bop","Rated 4.67 of 9 votes (63 have, 118 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Manhattan Towers,nan,$75.00
Thelonious Monk – Solo Monk,Columbia – CS 9149,US,"Vinyl, LP, Album, Stereo, 360 Sound, 2-Eye Label, Non-Breakable",Jazz,1965,"Hard Bop, Bop","Rated 4.45 of 44 votes (519 have, 292 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.7%,nan,nan,$75.00
Herbie Hancock – Maiden Voyage,Blue Note – BLP 4195,US,"Vinyl, LP, Album, Mono, DG Side 1",Jazz,1965,"Hard Bop, Modal","Rated 4.43 of 72 votes (454 have, 1282 want)",Good (G),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$75.00
Blue Mitchell – The Cup Bearers,Riverside Records – RS 9439,US,"Vinyl, LP, Album, Stereo",Jazz,1963,Hard Bop,"Rated 3.40 of 5 votes (35 have, 87 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.8%,Plaza Sound Studios,nan,$75.00
