Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Jimmy Smith – Jimmy Smith At The Organ (Volume 1),"Blue Note – 1551, Blue Note – BLP 1551",US,"Vinyl, LP, Album, Repress, Mono",Jazz,1958,"Bop, Hard Bop","Rated 4.11 of 9 votes (175 have, 101 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,Plastylite,$60.00
McCoy Tyner – Tender Moments,Blue Note – BST 84275,US,"Vinyl, LP, Album, Stereo",Jazz,1968,Hard Bop,"Rated 4.46 of 41 votes (378 have, 270 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.2%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$61.91
The Dave Brubeck Quartet – Time Out,Columbia – CL 1397,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Bop, Hard Bop","Rated 4.60 of 30 votes (329 have, 362 want)",Good Plus (G+),Sleeve: Good Plus (G+),99.9%,nan,nan,$60.00
Ken McIntyre – Stone Blues,"Prestige – NJ 8259, New Jazz – NJ 8259, New Jazz – PRNJ 8259",US,"Vinyl, LP, Album, Mono",Jazz,1961,"Hard Bop, Post Bop","Rated 4.25 of 12 votes (70 have, 127 want)",Very Good (VG),Sleeve: Very Good (VG),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$60.00
Jimmy Smith – Midnight Special,Blue Note – BST-84078,US,"Vinyl, LP, Album, Stereo, Plastylite Pressing","Jazz, Blues",1961,"Soul-Jazz, Hard Bop","Rated 4.00 of 48 votes (479 have, 232 want)",Very Good Plus (VG+),Sleeve: Fair (F),100.0%,nan,Plastylite,$60.00
The Horace Silver Quintet Plus J.J. Johnson – The Cape Verdean Blues,Blue Note – BST 84220,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1970,"Hard Bop, Post Bop, Latin Jazz","No Rating Yet (0 have, 4 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey","All Disc Records, Inc.",$60.00
Brown And Roach Incorporated* – Brown And Roach Incorporated,"Emarcy – MG 36008, Mercury – MG 36008",US,"Vinyl, LP, Album, Mono",Jazz,1955,"Bop, Hard Bop","Rated 4.50 of 34 votes (254 have, 178 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),97.0%,nan,nan,$60.00
Michel Roques Trio – Safari,Homère – HO 5004,France,"Vinyl, LP, Album",Jazz,1969,"Free Jazz, Hard Bop, Avant-garde Jazz","Rated 4.86 of 7 votes (20 have, 95 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$60.00
Stanley Turrentine With The Three Sounds – Blue Hour,Blue Note – BLP 4057,US,"Vinyl, LP, Album, Mono",Jazz,1961,"Cool Jazz, Hard Bop","Rated 4.26 of 19 votes (149 have, 333 want)",Good (G),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$60.00
Miles Davis – Round About Midnight / Four,Prestige – SMJ-20,Japan,"Vinyl, 7"", 33 ⅓ RPM, EP",Jazz,1965,Hard Bop,"Rated 5.00 of 1 votes (3 have, 6 want)",Near Mint (NM or M-),nan,57.1%,nan,nan,$60.00
Sonny Rollins – Moving Out,Prestige – LP 7058,US,"Vinyl, LP, Album, Mono",Jazz,1956,"Bop, Hard Bop","Rated 4.29 of 21 votes (131 have, 274 want)",Fair (F),Sleeve: No Cover,99.9%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$60.00
The Dave Bailey Quintet – Shiny Stockings,Epic – A7 17021,US,"Vinyl, 7"", 33 ⅓ RPM, Stereo",Jazz,1961,Hard Bop,"Rated 5.00 of 1 votes (3 have, 11 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.8%,nan,nan,$60.00
"Hank Mobley, Billy Root, Curtis Fuller, Lee Morgan – Another Monday Night At Birdland",Roulette – SR 52022,US,"Vinyl, LP, Album, Stereo",Jazz,1959,Hard Bop,"Rated 4.00 of 2 votes (40 have, 97 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),91.7%,Birdland,nan,$60.00
Cannonball Adderley With Milt Jackson – Things Are Getting Better,Riverside Records – RLP 1128,US,"Vinyl, LP, Album, Repress, Stereo",Jazz,1960,"Bop, Hard Bop","Rated 4.29 of 7 votes (49 have, 74 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,Reeves Sound Studios,nan,$60.00
