Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
The Incredible Jimmy Smith* – Crazy! Baby,"Blue Note – 4030, Blue Note – BLP 4030",US,"Vinyl, LP, Album, Repress, Mono",Jazz,1962,Hard Bop,"Rated 3.53 of 17 votes (304 have, 75 want)",Good Plus (G+),Sleeve: Very Good Plus (VG+),98.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$50.00
Enrique Villegas / Paul Gonsalves / Willie Cook – Encuentro,Trova – TL-22,Argentina,"Vinyl, LP, Album, Mono",Jazz,1969,Hard Bop,"Rated 5.00 of 1 votes (21 have, 28 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.6%,nan,nan,$50.00
Sonny Rollins – Newk's Time,Blue Note – BST 84001,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1966,Hard Bop,"Rated 4.44 of 9 votes (73 have, 81 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$50.00
Art Farmer – Brass Shout,United Artists Records – UAS 5079,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1962,Hard Bop,"Rated 3.00 of 1 votes (10 have, 23 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.6%,nan,nan,$50.00
The Horace Silver Quintet – Silver's Serenade,Blue Note – BST 84131,US,"Vinyl, LP, Album, Stereo",Jazz,1963,Hard Bop,"Rated 4.52 of 25 votes (187 have, 119 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$50.00
Joe Masters – The Jazz Mass,Columbia – CL 2598,US,"Vinyl, LP, Album, Mono, Promo",Jazz,1967,"Cool Jazz, Hard Bop","Rated 4.00 of 2 votes (16 have, 8 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.8%,nan,nan,$50.00
The Young Lions (7) – The Young Lions,Vee Jay Records – LP 3013,US,"Vinyl, LP, Album, Mono",Jazz,1960,Hard Bop,"Rated 4.43 of 14 votes (124 have, 126 want)",Very Good Plus (VG+),Sleeve: Good (G),99.4%,Bell Sound Studios,nan,$50.00
Brown And Roach Incorporated* – Brown And Roach Incorporated,"Emarcy – MG 36008, Mercury – MG 36008",US,"Vinyl, LP, Album, Mono",Jazz,1955,"Bop, Hard Bop","Rated 4.50 of 34 votes (253 have, 178 want)",Very Good (VG),Sleeve: Good Plus (G+),99.9%,nan,nan,$50.00
Wes Montgomery – Down Here On The Ground,"A&M Records – SP-3006, CTI Records – SP-3006",US,"Vinyl, LP, Album, Stereo, Gatefold",Jazz,1968,"Hard Bop, Post Bop","Rated 4.50 of 4 votes (104 have, 26 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$50.00
"Donald Byrd – At The Half Note Cafe, Volume 1",Blue Note – BST 84060,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1970,Hard Bop,"Rated 4.56 of 16 votes (139 have, 59 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),96.5%,Half Note,nan,$50.00
