Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Tadd Dameron And His Orchestra – The Magic Touch,Riverside Records – RLP 419,US,"Vinyl, LP, Album, Promo, Mono",Jazz,1962,Hard Bop,"Rated 5.00 of 1 votes (6 have, 14 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.0%,nan,nan,$98.52
"Julian ""Cannonball"" Adderley* With Horace Silver, Paul Chambers (3), Donald Byrd, Nat Adderley, Jerome Richardson, Kenny Clarke – Bohemia After Dark","Savoy Records – MG-12017, Savoy Records – MG 12017",US,"Vinyl, LP, Album, Mono",Jazz,1955,Hard Bop,"Rated 4.44 of 9 votes (63 have, 287 want)",Very Good (VG),Sleeve: Very Good (VG),97.2%,nan,nan,$99.00
Hank Mobley – The Flip,Blue Note – BST 84329,US,"Vinyl, LP, Album, Stereo",Jazz,1970,Hard Bop,"Rated 4.28 of 29 votes (317 have, 168 want)",Mint (M),Sleeve: Mint (M),99.5%,Studios Barclay,nan,$99.99
The Horace Silver Quintet – Further Explorations,Blue Note – BLP 1589,US,"Vinyl, LP, Album, Mono",Jazz,Mar 1958,Hard Bop,"Rated 4.39 of 41 votes (253 have, 243 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$99.00
Charles Mingus – Mingus At Monterey,"Jazz Workshop – JWS 001, Jazz Workshop – JWS 002",US,"2 × Vinyl, LP, Album, Repress, Stereo",Jazz,1968,"Hard Bop, Post Bop","Rated 4.14 of 21 votes (216 have, 59 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,Monterey Jazz Festival,nan,$99.99
Cannonball Adderley – Somethin' Else,Blue Note – BLP 1595,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1959,"Bop, Hard Bop","Rated 4.92 of 12 votes (99 have, 388 want)",Good Plus (G+),Sleeve: Very Good (VG),99.9%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$96.29
Archie Shepp – Four For Trane,Impulse! – A-71,US,"Vinyl, LP, Album, Mono",Jazz,Jan 1965,"Free Jazz, Hard Bop","Rated 4.00 of 11 votes (92 have, 163 want)",Very Good (VG),Sleeve: Good (G),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$99.00
The Miles Davis Quintet – Cookin' With The Miles Davis Quintet,"Prestige – PRLP 7094, Prestige – Prestige 7094",US,"Vinyl, LP, Album, Mono, Repress",Jazz,1958,Hard Bop,"Rated 4.82 of 34 votes (315 have, 258 want)",Good Plus (G+),Sleeve: Poor (P),100.0%,nan,"Abbey Record Manufacturing Co., Inc.",$95.98
The Blue Mitchell Quintet – Down With It,Blue Note – BST 84214,US,"Vinyl, LP, Album, Stereo",Jazz,1965,Hard Bop,"Rated 4.47 of 17 votes (108 have, 141 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$99.99
The Chet Baker Quintet – Boppin' With The Chet Baker Quintet,"Prestige – PR 7512, Prestige – PRST 7512",US,"Vinyl, LP, Album, Stereo",Jazz,1967,"Hard Bop, Cool Jazz","Rated 3.50 of 10 votes (54 have, 72 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.9%,nan,nan,$99.00
Frank Strazzeri – That's Him & This Is New,Revelation Records (3) – REV-10,US,"Vinyl, LP",Jazz,1969,"Hard Bop, Modal, Post Bop","Rated 4.00 of 2 votes (17 have, 46 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.5%,nan,nan,$99.98
Freddie Roach – Good Move,Blue Note – BLP 4158,US,"Vinyl, LP, Album, Mono",Jazz,1963,Hard Bop,"Rated 4.19 of 16 votes (121 have, 177 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$99.99
Thelonious Monk Quartet* – Misterioso,Riverside Records – RLP 12-279,US,"Vinyl, LP, Album, Mono",Jazz,1958,"Bop, Hard Bop","Rated 4.45 of 44 votes (386 have, 319 want)",Good (G),Sleeve: Good (G),99.5%,Five Spot Café,nan,$99.95
The Horace Silver Quintet Plus J.J. Johnson – The Cape Verdean Blues,Blue Note – BLP 4220,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1968,"Hard Bop, Post Bop, Latin Jazz","Rated 5.00 of 4 votes (36 have, 79 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$99.99
Miles Davis Sextet* – Someday My Prince Will Come,Columbia – CS 8456,US,"Vinyl, LP, Album, Stereo",Jazz,1961,Hard Bop,"Rated 4.42 of 57 votes (654 have, 268 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),97.5%,nan,nan,$95.99
Bennie Green – Just Friends,Blue Note – 45-1707,US,"Vinyl, 7"", 45 RPM",Jazz,1958,Hard Bop,"No Rating Yet (10 have, 11 want)",Mint (M),Sleeve: Generic,99.9%,nan,nan,$99.99
The Horace Silver Quintet – The Tokyo Blues,Blue Note – BST 84110,US,"Vinyl, LP, Stereo, Album",Jazz,1962,Hard Bop,"Rated 4.64 of 25 votes (252 have, 207 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$99.99
Al Grey With Billy Mitchell – Night Song,"Argo (6) – LP 711, Argo Jazz – LP 711",US,"Vinyl, LP, Album, Mono",Jazz,1963,Hard Bop,"Rated 4.25 of 8 votes (50 have, 37 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$99.00
