Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,Blue Note – BLP 4003,US,"Vinyl, LP, Album, Repress, Mono, NY USA Pressing",Jazz,1962,Hard Bop,"Rated 4.89 of 18 votes (133 have, 324 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$985.00 
Sonny Rollins – Way Out West,Contemporary Records – M3530,US,"Vinyl, LP, Mono, Reissue",Jazz,1959,Hard Bop,"Rated 4.82 of 11 votes (76 have, 172 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,Contemporary's Studio,nan,"$1,000.00 "
Jackie McLean – Right Now!,Blue Note – BLP 4215,US,"Vinyl, LP, Album, Mono",Jazz,1966,Hard Bop,"Rated 4.45 of 22 votes (122 have, 246 want)",Mint (M),Sleeve: Near Mint (NM or M-),99.70%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,100.00 "
Mal Waldron Quintet Featuring Gigi Gryce And Idrees Sulieman – Mal-1,Prestige – PRLP 7090,US,"Vinyl, LP, Album, Mono",Jazz,May-57,Hard Bop,"Rated 4.67 of 12 votes (53 have, 204 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$1,200.00 "
"Coleman Hawkins With Eddie ""Lockjaw"" Davis – Night Hawk",Prestige Swingville – SVLP 2016,US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,"Rated 4.31 of 13 votes (72 have, 93 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.40%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$666.00 
Mal Waldron Quintet Featuring Gigi Gryce And Idrees Sulieman – Mal-1,Prestige – PRLP 7090,US,"Vinyl, LP, Album, Mono",Jazz,May-57,Hard Bop,"Rated 4.67 of 12 votes (53 have, 204 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Hackensack, New Jersey",nan,$795.00 
Miles Davis – Miles Davis And The Modern Jazz Giants,Prestige – PRESTIGE 3,US,"Vinyl, LP, 16 ⅔ RPM, Compilation",Jazz,1957,"Cool Jazz, Hard Bop","Rated 4.50 of 6 votes (24 have, 124 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.","$1,623.89 "
Tina Brooks – True Blue,Blue Note – BLP 4041,US,"Vinyl, LP, Album, Mono",Jazz,1960,Hard Bop,"Rated 4.58 of 33 votes (91 have, 683 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$5,000.00 "
Joe Henderson – Page One,Blue Note – BLP 4140,US,"Vinyl, LP, Album, Mono",Jazz,1963,Hard Bop,"Rated 4.61 of 33 votes (141 have, 735 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,500.00 "
Donald Byrd – Byrd In Flight,Blue Note – BLP 4048,US,"Vinyl, LP, Album, Mono",Jazz,1960,"Hard Bop, Latin Jazz","Rated 4.50 of 28 votes (143 have, 552 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.60%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,050.00 "
The Dave Bailey Sextet – Bash!,Jazz Line (2) – JAZ-33-01,US,"Vinyl, LP, Album",Jazz,1961,Hard Bop,"Rated 4.67 of 3 votes (40 have, 133 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.60%,Peter Ind Studio,nan,$849.99 
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,Blue Note – BST 4003,US,"Vinyl, LP, Album, Stereo",Jazz,May-59,"Hard Bop, Soul-Jazz","Rated 4.68 of 50 votes (262 have, 864 want)",Mint (M),Sleeve: Mint (M),100.00%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$700.00 
Donald Byrd – At The Half Note Cafe (Volume 1),"Blue Note – 4060, Blue Note – BLP 4060",US,"Vinyl, LP, Album, Repress, Mono",Jazz,Jul-61,Hard Bop,"Rated 4.53 of 19 votes (132 have, 161 want)",Mint (M),Sleeve: Mint (M),100.00%,Half Note,Plastylite,$600.00 
Hank Mobley – Hank Mobley And His All Stars,Blue Note – BLP 1544,US,"Vinyl, LP, Album, Mono",Jazz,Mar-57,Hard Bop,"Rated 4.26 of 19 votes (92 have, 337 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,500.00 "
The Miles Davis Quintet – Relaxin' With The Miles Davis Quintet,Prestige – PRLP 7129,US,"Vinyl, LP, Album, Mono, 1st Pressing",Jazz,1958,Hard Bop,"Rated 4.46 of 39 votes (368 have, 744 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.70%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$900.00 
Sonny Rollins Quintet – Plays,Period Records – SPL 1204,US,"Vinyl, LP, Album, Mono",Jazz,1956,"Hard Bop, Bop","Rated 4.00 of 3 votes (22 have, 126 want)",Very Good (VG),Sleeve: Good Plus (G+),99.30%,nan,nan,$800.00 
Dizzy Reece – Asia Minor,"New Jazz – NJ 8274, New Jazz – NJLP 8274",US,"Vinyl, LP, Album, Mono",Jazz,1962,Hard Bop,"Rated 4.17 of 6 votes (44 have, 213 want)",Mint (M),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$700.00 
Sonny Rollins Quartet – Tenor Madness,Prestige – PRLP 7047,US,"Vinyl, LP, Album, Mono",Jazz,Nov-56,"Bop, Hard Bop","Rated 4.42 of 26 votes (181 have, 335 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Hackensack, New Jersey",nan,$700.00 
Donald Byrd – Byrd In Paris,Signature (4) – SM 1039,US,"Vinyl, LP, Album, Mono",Jazz,1960,Hard Bop,"Rated 5.00 of 1 votes (7 have, 92 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),95.20%,nan,nan,$650.00 
Art Farmer – Farmer's Market,"Prestige – 8203, Prestige – PRLP 8203",US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 5.00 of 1 votes (27 have, 119 want)",Very Good (VG),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey",nan,$600.00 
Blue Mitchell – Blue's Moods,Riverside Records – RLP 336,US,"Vinyl, LP, Album, Mono",Jazz,1960,Hard Bop,"Rated 4.36 of 11 votes (80 have, 270 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.40%,Plaza Sound Studios,nan,"$1,000.09 "
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May-58,"Bop, Hard Bop","Rated 4.70 of 194 votes (1085 have, 1716 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,nan,Plastylite,"$2,000.00 "
"Sonny Rollins – A Night At The ""Village Vanguard""",Blue Note – BST 81581,US,"Vinyl, LP, Album, Stereo",Jazz,1967,"Hard Bop, Bop","Rated 4.75 of 4 votes (9 have, 34 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,Village Vanguard,Research Craft,$999.99 
The Horace Silver Quintet & Trio* – Blowin' The Blues Away,Blue Note – BLP 4017,US,"Vinyl, LP, Album, Mono, Microgroove",Jazz,Oct-59,Hard Bop,"Rated 4.62 of 78 votes (682 have, 361 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,430.00 "
Eric Dolphy – Out To Lunch!,Blue Note – BLP 4163,US,"Vinyl, Album, Mono, LP",Jazz,Aug-64,"Hard Bop, Free Jazz, Modal, Post Bop","Rated 4.82 of 71 votes (332 have, 997 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,500.00 "
Art Blakey & The Jazz Messengers – Like Someone In Love,Blue Note – BST 84245,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1967,Hard Bop,"Rated 5.00 of 4 votes (24 have, 39 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,485.00 "
Sonny Rollins Quintet Featuring Kenny Dorham – Sonny Rollins Quintet,Prestige – prLP 186,US,"Vinyl, LP, 10"", Album, Mono",Jazz,1954,"Bop, Hard Bop","Rated 5.00 of 1 votes (18 have, 91 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey",nan,$669.99 
Dizzy Reece – Star Bright,Blue Note – BLP 4023,US,"Vinyl, LP, Album, Mono",Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,000.00 "
"Max Roach – Deeds, Not Words",Riverside Records – RLP 12-280,US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.69 of 16 votes (135 have, 253 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),nan,nan,nan,$950.00 
Cliff Jordan* & John Gilmore – Blowing In From Chicago,Blue Note – BLP 1549,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1958,Hard Bop,"Rated 5.00 of 1 votes (5 have, 43 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.80%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$2,799.95 "
Dizzy Reece – Star Bright,Blue Note – BLP 4023,US,"Vinyl, LP, Album, Mono",Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.40%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$850.00 
The Horace Silver Quintet – 6 Pieces Of Silver,Blue Note – BLP 1539,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1957,Hard Bop,"Rated 4.60 of 25 votes (227 have, 158 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$600.00 
Les McCann & The Jazz Crusaders* – Jazz Waltz,Pacific Jazz – PJ-81,US,"Vinyl, LP, Album, Mono","Jazz, Funk / Soul",1963,"Soul-Jazz, Hard Bop","Rated 4.00 of 2 votes (52 have, 67 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),99.30%,nan,nan,"$1,520.00 "
Dizzy Reece – Blues In Trinity,Blue Note – BLP 4006,US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.33 of 15 votes (55 have, 281 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.70%,Decca Studios,nan,$999.99 
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May-58,"Bop, Hard Bop","Rated 4.70 of 194 votes (1085 have, 1716 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,nan,Plastylite,$750.00 
Sonny Rollins – Moving Out,Prestige – LP 7058,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1958,"Bop, Hard Bop","Rated 4.25 of 4 votes (32 have, 69 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,nan,"Abbey Record Manufacturing Co., Inc.","$1,500.00 "
John Coltrane – Blue Train,"Blue Note – 1577, Blue Note – BLP 1577",US,"Vinyl, LP, Album, Repress, Mono, No ®",Jazz,1958,Hard Bop,"Rated 4.93 of 15 votes (71 have, 615 want)",Very Good (VG),Sleeve: Good Plus (G+),100.00%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$750.00 
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May-58,"Bop, Hard Bop","Rated 4.70 of 194 votes (1085 have, 1716 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.40%,nan,Plastylite,$850.00 
Herbie Hancock – Inventions And Dimensions,Blue Note – BLP 4147,US,"Vinyl, LP, Album, Mono",Jazz,1964,"Free Improvisation, Hard Bop, Modal","Rated 4.52 of 42 votes (169 have, 829 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$850.00 
The Dave Bailey Sextet – Bash!,Jazz Line (2) – JAZ-33-01,US,"Vinyl, LP, Album",Jazz,1961,Hard Bop,"Rated 4.67 of 3 votes (40 have, 133 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),100.00%,Peter Ind Studio,nan,"$1,599.99 "
Kenny Dorham – The Arrival Of Kenny Dorham,Jaro International – JAS 8007,US,"Vinyl, LP, Album, Stereo",Jazz,1960,Hard Bop,"Rated 5.00 of 1 votes (5 have, 55 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,nan,nan,"$1,299.99 "
John Coltrane – Blue Train,"Blue Note – 1577, Blue Note – BLP 1577",US,"Vinyl, LP, Album, Repress, Mono, No ®",Jazz,1958,Hard Bop,"Rated 4.93 of 15 votes (71 have, 615 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.70%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$900.00 
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May-58,"Bop, Hard Bop","Rated 4.70 of 194 votes (1085 have, 1716 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.50%,nan,Plastylite,$995.00 
Dizzy Reece – Star Bright,Blue Note – BLP 4023,US,"Vinyl, LP, Album, Mono",Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.50%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,200.00 "
Curtis Fuller – Bone & Bari,Blue Note – BLP 1572,US,"Vinyl, LP, Album, Mono",Jazz,1957,"Hard Bop, Cool Jazz","Rated 4.61 of 18 votes (55 have, 276 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,200.00 "
Sonny Red – Out Of The Blue,Blue Note – BLP 4032,US,"Vinyl, LP, Album, Mono",Jazz,1960,Hard Bop,"Rated 4.31 of 13 votes (72 have, 276 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,000.00 "
"Art Blakey Quintet – A Night At Birdland, Volume 1",Blue Note – BLP 1521,US,"Vinyl, LP, Compilation, Mono",Jazz,Jul-56,Hard Bop,"Rated 4.60 of 20 votes (149 have, 365 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,Birdland,Plastylite,$775.00 
Thad Jones / Kenny Burrell / Frank Wess / Mal Waldron / Paul Chambers (3) / Arthur Taylor* – After Hours,Prestige – 7118,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,"Rated 4.55 of 11 votes (64 have, 317 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.40%,"Van Gelder Studio, Hackensack, New Jersey",nan,$666.00 
Freddie Redd Quintet – Shades Of Redd,Blue Note – BLP 4045,US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,"Rated 4.33 of 15 votes (77 have, 276 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),94.30%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,500.00 "
The Red Garland Quintet Featuring John Coltrane And Donald Byrd – Soul Junction,Prestige – PRLP 7181,US,"Vinyl, LP, Album, Mono, Deep groove",Jazz,Oct-60,Hard Bop,"Rated 4.28 of 32 votes (218 have, 364 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,nan,nan,$750.00 
Larry Young – Unity,Blue Note – BLP 4221,US,"Vinyl, LP, Album, Mono",Jazz,1966,"Avant-garde Jazz, Hard Bop, Post Bop","Rated 4.67 of 30 votes (142 have, 603 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$701.00 
Lee Morgan – The Cooker,Blue Note – BLP 1578,US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.54 of 24 votes (137 have, 650 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.70%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,000.00 "
Kenny Burrell – Introducing Kenny Burrell,Blue Note – BLP 1523,US,"Vinyl, LP, Album, Mono","Jazz, Blues",1956,Hard Bop,"Rated 4.64 of 22 votes (120 have, 453 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.20%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$700.00 
Miles Davis – Diggin' With The Miles Davis Sextet,"Prestige – PR 7281, Prestige – PRST 7281",US,"Vinyl, LP, Compilation, Reissue, Remastered, Stereo, fake stereo",Jazz,1963,"Bop, Hard Bop","Rated 4.00 of 1 votes (27 have, 54 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Hackensack, New Jersey",nan,$999.00 
