Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Miles Davis – Volume 2,Blue Note – BLP 1502,US,"Vinyl, LP, Compilation, Remastered, Mono",Jazz,Feb-56,"Hard Bop, Bop","Rated 4.32 of 25 votes (219 have, 302 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.80%,WOR Studios,Plastylite,"$1,100.00 "
Curtis Fuller – The Opener,Blue Note – BLP 1567,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,"Rated 4.50 of 16 votes (68 have, 385 want)",Very Good (VG),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$2,100.00 "
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Blue Note – BLP 1508,US,"Vinyl, LP, Album, Mono",Jazz,May-56,Hard Bop,"Rated 4.62 of 29 votes (205 have, 409 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.80%,Café Bohemia,Plastylite,$770.00 
Cliff Jordan* & John Gilmore – Blowing In From Chicago,Blue Note – BLP 1549,US,"Vinyl, LP, Album, Mono",Jazz,May-57,Hard Bop,"Rated 4.76 of 17 votes (83 have, 493 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.80%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,650.00 "
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May-58,"Bop, Hard Bop","Rated 4.70 of 194 votes (1085 have, 1716 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),nan,nan,Plastylite,"$1,099.00 "
Jerome Richardson – Midnight Oil,New Jazz – PRLP 8205,US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,"Rated 4.60 of 10 votes (34 have, 131 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.40%,"Van Gelder Studio, Hackensack, New Jersey",nan,$666.00 
Herbie Nichols Trio – Herbie Nichols Trio,Blue Note – BLP 1519,US,"Vinyl, LP, Album, Mono",Jazz,1956,"Hard Bop, Bop","Rated 4.75 of 12 votes (67 have, 292 want)",Very Good (VG),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey",nan,$750.00 
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Prestige – PRLP 7166,US,"Vinyl, LP, Album, Mono, Deep groove",Jazz,Jan-60,"Hard Bop, Bop","Rated 4.62 of 101 votes (812 have, 1032 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.70%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$700.00 
Thad Jones – The Magnificent Thad Jones,Blue Note – BLP 1527,US,"Vinyl, LP, Album, Mono",Jazz,1956,Hard Bop,"Rated 4.56 of 16 votes (92 have, 428 want)",Very Good (VG),Sleeve: Very Good (VG),99.70%,"Van Gelder Studio, Hackensack, New Jersey",nan,$900.00 
Eric Dolphy Quintet – Outward Bound,New Jazz – NJLP-8236,US,"Vinyl, LP, Album, Mono",Jazz,1960,"Hard Bop, Post Bop","Rated 4.64 of 42 votes (197 have, 448 want)",Near Mint (NM or M-),Sleeve: Mint (M),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey","Abbey Record Manufacturing Co., Inc.",$850.00 
Red Garland – Red In Bluesville,"Prestige – PRLP 7157, Prestige – 7157",US,"Vinyl, LP, Album, Mono","Jazz, Blues",1959,Hard Bop,"Rated 4.67 of 12 votes (153 have, 137 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,nan,"Abbey Record Manufacturing Co., Inc.",$600.00 
Various – Summer Jazz In Tokyo,"Canyon – CAJ-1002, 1003",Japan,"2 × Vinyl, LP, Album, Gatefold",Jazz,Nov-70,"Free Jazz, Hard Bop, Post Bop, Modal","Rated 5.00 of 3 votes (7 have, 91 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.00%,nan,nan,$850.99 
Freddie Hubbard – Hub-Tones,Blue Note – BST 84115,US,"Vinyl, LP, Album, Stereo",Jazz,1962,Hard Bop,"Rated 4.92 of 12 votes (74 have, 309 want)",Very Good (VG),Sleeve: Good (G),99.80%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$2,225.00 "
Joe Henderson – Page One,Blue Note – BLP 4140,US,"Vinyl, LP, Album, Mono",Jazz,1963,Hard Bop,"Rated 4.61 of 33 votes (141 have, 735 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,000.00 "
John Coltrane – Giant Steps,Atlantic – 1311,US,"Vinyl, LP, Album, Mono, Non-Deep Groove",Jazz,Jan-60,Hard Bop,"Rated 4.67 of 3 votes (38 have, 468 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),nan,nan,nan,$950.00 
John Coltrane – A Love Supreme,Impulse! – AS-77,US,"Vinyl, LP, Album, Stereo, Gatefold",Jazz,1965,"Free Jazz, Hard Bop, Modal","Rated 4.67 of 12 votes (52 have, 375 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,nan,nan,$700.00 
Benny Golson – Gone With Golson,"Prestige – NJLP 8235, New Jazz – NJLP 8235",US,"Vinyl, LP, Album, Mono",Jazz,1960,Hard Bop,"Rated 4.70 of 10 votes (66 have, 165 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.60%,"Van Gelder Studio, Hackensack, New Jersey",nan,$599.99 
Dizzy Reece – Star Bright,Blue Note – BLP 4023,US,"Vinyl, LP, Album, Mono",Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,200.00 "
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May-58,"Bop, Hard Bop","Rated 4.70 of 194 votes (1085 have, 1716 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.00%,nan,Plastylite,$677.77 
The Dave Bailey Sextet – Bash!,Jazz Line (2) – JAZ-33-01,US,"Vinyl, LP, Album",Jazz,1961,Hard Bop,"Rated 4.67 of 3 votes (40 have, 133 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.50%,Peter Ind Studio,nan,$895.00 
Miles Davis – Miles Davis And The Modern Jazz Giants,Prestige – PRESTIGE 3,US,"Vinyl, LP, 16 ⅔ RPM, Compilation",Jazz,1957,"Cool Jazz, Hard Bop","Rated 4.50 of 6 votes (24 have, 124 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.00%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.","$1,200.00 "
Miles Davis Sextet* – Someday My Prince Will Come,Columbia – CS 8456,US,"Vinyl, LP, Album, Stereo",Jazz,1961,Hard Bop,"Rated 4.42 of 57 votes (653 have, 268 want)",Mint (M),Sleeve: Mint (M),100.00%,nan,nan,$600.00 
Hank Mobley – Mobley's Message,Prestige – PRLP 7061,US,"Vinyl, LP, Album",Jazz,1956,Hard Bop,"Rated 4.50 of 14 votes (70 have, 373 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.","$1,500.00 "
Kenny Dorham – Whistle Stop,Blue Note – BLP 4063,US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,"Rated 4.56 of 16 votes (126 have, 340 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.50%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,250.00 "
Curtis Fuller – The Opener,Blue Note – BLP 1567,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,"Rated 4.50 of 16 votes (68 have, 385 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.00%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$1,400.00 "
Freddie Hubbard – Goin' Up,Blue Note – BLP 4056,US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,"Rated 4.56 of 18 votes (104 have, 353 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$999.99 
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May-58,"Bop, Hard Bop","Rated 4.70 of 194 votes (1085 have, 1716 want)",Very Good (VG),Sleeve: Very Good (VG),100.00%,nan,Plastylite,$645.62 
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,"Blue Note – 4003, Blue Note – BLP 4003",US,"Vinyl, LP, Album, Mono",Jazz,Nov-58,Hard Bop,"Rated 4.60 of 156 votes (877 have, 1920 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.00%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$799.99 
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May-58,"Bop, Hard Bop","Rated 4.70 of 194 votes (1085 have, 1716 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.00%,nan,Plastylite,$800.00 
