Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
The Horace Silver Quintet & Trio* – Blowin' The Blues Away,Blue Note – BLP 4017,US,"Vinyl, LP, Album, Reissue, Mono, Microgroove",Jazz,1963,Hard Bop,"No Rating Yet (4 have, 20 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$129.99
Jackie McLean – One Step Beyond,Blue Note – BLP 4137,US,"Vinyl, LP, Album, Mono",Jazz,Feb 1964,"Hard Bop, Post Bop","Rated 4.76 of 29 votes (184 have, 299 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$130.00
Miles Davis – Seven Steps To Heaven,Columbia – CS 8851,US,"Vinyl, LP, Album, Stereo",Jazz,Sep 1963,"Hard Bop, Modal","Rated 4.61 of 23 votes (251 have, 133 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,"Columbia Records Pressing Plant, Pitman",$138.17
The Incredible Jimmy Smith* – Bucket,"Blue Note – 4235, Blue Note – BLP 4235",US,"Vinyl, LP, Album, Mono",Jazz,1966,"Soul-Jazz, Hard Bop","Rated 4.04 of 27 votes (375 have, 61 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,nan,nan,$132.29
Cannonball Adderley – Somethin' Else,"Blue Note – BST 81595, Blue Note – BLP 1595, Blue Note – BST 1595, Blue Note – 81595",US,"Vinyl, LP, Album, Reissue, Stereo, Liberty Pressing",Jazz,1966,Hard Bop,"Rated 4.67 of 51 votes (307 have, 416 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$130.00
"Al Grey, Billy Mitchell, Lee Morgan, Charlie Persip, Paul West, Billy Root, Wynton Kelly – Dizzy Atmosphere",Specialty – SP-2110,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1960,"Hard Bop, Swing","Rated 5.00 of 1 votes (7 have, 50 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$134.00
Art Blakey & The Jazz Messengers – Free For All,"Blue Note – BLP-4170/84170, Blue Note – BST 84170",US,"Vinyl, LP, Album, Stereo, Repress",Jazz,1968,Hard Bop,"Rated 4.42 of 12 votes (139 have, 151 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$133.33
Art Blakey & The Jazz Messengers – A Night In Tunisia,Blue Note – BST 84049,US,"Vinyl, LP, Album, Reissue",Jazz,1966,Hard Bop,"Rated 4.32 of 19 votes (156 have, 230 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$135.00
The Curtis Fuller Sextet – Sliding Easy,United Artists Records – UAS 5041,US,"Vinyl, LP, Album, Stereo",Jazz,1959,Hard Bop,"Rated 5.00 of 1 votes (5 have, 31 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,Nola Recording Studios,nan,$129.99
Freddie Roach – Good Move,Blue Note – BST 84158,US,"Vinyl, LP, Album, Stereo",Jazz,1963,"Hard Bop, Soul-Jazz","Rated 4.71 of 7 votes (42 have, 101 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,Plastylite,$140.00
Herbie Hancock – Maiden Voyage,Blue Note – BST 84195,US,"Vinyl, LP, Album, Stereo",Jazz,1966,"Hard Bop, Modal","Rated 5.00 of 11 votes (137 have, 463 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.2%,nan,nan,$135.00
The Horace Silver Quintet & Trio* – Blowin' The Blues Away,Blue Note – BLP 4017,US,"Vinyl, LP, Album, Mono, Microgroove",Jazz,Oct 1959,Hard Bop,"Rated 4.62 of 78 votes (682 have, 361 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$134.74
John Coltrane With Red Garland – Soultrane,"Prestige – 7142, Prestige – PRLP 7142",US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.40 of 85 votes (549 have, 758 want)",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$140.00
Lee Morgan – The Sidewinder,"Blue Note – BST 84157, Blue Note – ST-84157, Blue Note – 84157",US,"Vinyl, LP, Album, Stereo",Jazz,1964,Hard Bop,"Rated 4.72 of 109 votes (962 have, 812 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),92.3%,nan,Plastylite,$139.57
Art Blakey & The Jazz Messengers – Mosaic,Blue Note – BLP 4090,US,"Vinyl, LP, Album, Mono",Jazz,Dec 1961,"Bop, Hard Bop","Rated 4.51 of 65 votes (437 have, 394 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$130.00
Lou Donaldson – The Natural Soul,Blue Note – BLP 4108,US,"Vinyl, LP, Album, Mono",Jazz,Feb 1963,"Soul-Jazz, Hard Bop","Rated 4.08 of 25 votes (224 have, 284 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$140.00
Kenny Burrell & John Coltrane – Kenny Burrell & John Coltrane,"New Jazz – NJ 8276, New Jazz – NJLP 8276",US,"Vinyl, LP, Album, Mono",Jazz,1962,Hard Bop,"Rated 4.17 of 12 votes (50 have, 244 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,"Van Gelder Studio, Hackensack, New Jersey",nan,$140.00
Gerry Mulligan Meets Stan Getz – Gerry Mulligan Meets Stan Getz,"Verve Records – MG V-8249, Verve Records – V-8249",US,"Vinyl, LP, Album, Mono",Jazz,1961,"Bop, Hard Bop","Rated 4.16 of 25 votes (287 have, 79 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.8%,nan,MGM Records Division,$136.12
Thelonious Monk Quartet* – Misterioso,Riverside Records – RLP 12-279,US,"Vinyl, LP, Album, Mono",Jazz,1958,"Bop, Hard Bop","Rated 4.45 of 44 votes (386 have, 319 want)",Very Good (VG),Sleeve: Very Good (VG),99.9%,Five Spot Café,nan,$129.99
The Incredible Jimmy Smith* – Back At The Chicken Shack,"Blue Note – BST 84117, Blue Note – ST-84117",US,"Vinyl, LP, Album, Stereo",Jazz,1963,Hard Bop,"Rated 4.33 of 43 votes (433 have, 315 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$129.99
John Coltrane With The Red Garland Trio – Traneing In,"Prestige – 7123, Prestige – PRLP 7123",US,"Vinyl, LP, Album, Repress, Mono, Yellow/Black Label",Jazz,1961,Hard Bop,"Rated 4.67 of 21 votes (206 have, 204 want)",Very Good (VG),Sleeve: Very Good (VG),99.7%,nan,nan,$140.00
The John Coltrane Quartet – Africa / Brass,Impulse! – A-6,US,"Vinyl, LP, Album, Mono, Gatefold",Jazz,Sep 1961,"Free Jazz, Hard Bop, Modal","Rated 4.64 of 42 votes (428 have, 361 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),98.7%,nan,nan,$129.99
Miles Davis – The Original Quintet (First Recording),"Prestige – PR 7254, Prestige – PRLP 7254",US,"Vinyl, LP, Album, Mono, Reissue",Jazz,1963,"Bop, Hard Bop","Rated 4.33 of 9 votes (129 have, 113 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),96.7%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$129.00
Stanley Turrentine With The Three Sounds – Blue Hour,Blue Note – BLP 4057,US,"Vinyl, LP, Album, Mono",Jazz,1962,"Cool Jazz, Hard Bop","Rated 5.00 of 2 votes (8 have, 47 want)",Good Plus (G+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$129.99
Eric Dolphy – Out To Lunch!,Blue Note – BST 84163,US,"Vinyl, LP, Album, Stereo, Repress, Transitional",Jazz,1966,"Hard Bop, Free Jazz, Modal, Post Bop","Rated 4.86 of 7 votes (31 have, 241 want)",Very Good (VG),Sleeve: Near Mint (NM or M-),98.7%,nan,nan,$140.00
Miles Davis – Miles Davis And The Modern Jazz Giants,Prestige – PRLP 7150,US,"Vinyl, LP, Compilation, Mono",Jazz,1959,Hard Bop,"Rated 4.56 of 52 votes (497 have, 416 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),93.9%,nan,nan,$139.99
The Horace Silver Quintet – Song For My Father (Cantiga Para Meu Pai),Blue Note – BST 84185,US,"Vinyl, LP, Album, Stereo",Jazz,1966,"Hard Bop, Latin Jazz","Rated 4.13 of 8 votes (89 have, 175 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$135.00
The Joe Harriott Quintet* – A Guy Called Joe,Columbia – SEG 8070,UK,"Vinyl, 7"", 45 RPM, EP, Mono",Jazz,1961,Hard Bop,"Rated 5.00 of 1 votes (12 have, 74 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,Lansdowne Studios,nan,$139.89
Julian Adderley Quintet* – Portrait Of Cannonball,Riverside Records – RLP 12-269,US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.00 of 9 votes (196 have, 136 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.5%,Reeves Sound Studios,nan,$130.00
Stanley Turrentine – Hustlin',Blue Note – BLP 4162,US,"Vinyl, LP, Album, Mono",Jazz,Mar 1965,Hard Bop,"Rated 4.29 of 14 votes (158 have, 196 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$143.90
Charles Mingus – Mingus Ah Um,Columbia – CL 1370,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Hard Bop, Bop","Rated 4.80 of 5 votes (27 have, 353 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Columbia 30th Street Studio,nan,$135.00
The Herman Foster Trio – Have You Heard Herman Foster,Epic – LA 16010,US,"Vinyl, LP, Album, Promo, Mono","Jazz, Blues",1960,Hard Bop,"Rated 4.00 of 1 votes (8 have, 16 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.7%,nan,nan,$135.00
John Coltrane – Lush Life,"Prestige – 7188, Prestige – PRLP 7188",US,"Vinyl, LP, Album, Mono",Jazz,Jan 1961,Hard Bop,"Rated 4.51 of 76 votes (573 have, 640 want)",Very Good (VG),Sleeve: Good (G),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$140.00
Miles Davis – Miles Davis In Europe,Columbia – CS 8983,US,"Vinyl, LP, Album, Stereo, Terre Haute Pressing",Jazz,1964,"Hard Bop, Modal","Rated 4.29 of 49 votes (690 have, 184 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.7%,Antibes Jazz Festival,"Columbia Records Pressing Plant, Terre Haute",$135.00
The Horace Silver Quintet – Silver's Serenade,Blue Note – BLP 4131,US,"Vinyl, LP, Album, Mono",Jazz,Jul 1963,Hard Bop,"Rated 4.27 of 37 votes (296 have, 166 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$130.00
Terumasa Hino Quintet – Into The Heaven,"Takt Jazz Series – XMS-10025-CT, Columbia – XMS-10025-CT",Japan,"Vinyl, LP, Album, Gatefold Sleeve",Jazz,1970,"Bop, Hard Bop","Rated 4.62 of 13 votes (33 have, 159 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$129.99
The Horace Silver Quintet Plus J.J. Johnson – The Cape Verdean Blues,Blue Note – BST 84220,US,"Vinyl, LP, Album, Stereo",Jazz,Dec 1965,"Hard Bop, Post Bop","Rated 4.53 of 59 votes (400 have, 245 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,nan,Plastylite,$144.44
Grant Green – Sunday Mornin',Blue Note – BST 4099,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1966,Hard Bop,"Rated 4.00 of 5 votes (10 have, 51 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$139.99
Max Roach – We Insist! Max Roach's Freedom Now Suite,Candid – CJM 8002,US,"Vinyl, LP, Album, Mono",Jazz,Jan 1961,"Afro-Cuban Jazz, Hard Bop","Rated 4.72 of 53 votes (296 have, 864 want)",Very Good (VG),Sleeve: Fair (F),99.5%,Nola Recording Studios,nan,$139.35
Dexter Gordon – A Swingin' Affair,Blue Note – BST-84133,US,"Vinyl, LP, Album, Stereo, Reissue",Jazz,1967,Hard Bop,"Rated 4.57 of 7 votes (53 have, 111 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$130.00
Miles Davis – Blue Moods,Debut Records – DEB-120,US,"Vinyl, LP, Album",Jazz,1955,Hard Bop,"Rated 4.24 of 25 votes (147 have, 573 want)",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,nan,nan,$139.99
Cannonball Adderley – Somethin' Else,Blue Note – BLP 1595,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1960,"Bop, Hard Bop","Rated 4.63 of 19 votes (116 have, 436 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.4%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$140.00
Donald Byrd – Fuego,"Blue Note – 84026, Blue Note – BST 84026",US,"Vinyl, LP, Album, Stereo",Jazz,Sep 1960,Hard Bop,"Rated 4.11 of 18 votes (111 have, 212 want)",Very Good (VG),Sleeve: Very Good (VG),99.3%,nan,Plastylite,$139.99
The Horace Silver Quintet – Doin' The Thing - At The Village Gate,Blue Note – BLP 4076,US,"Vinyl, LP, Album, Mono",Jazz,Aug 1961,Hard Bop,"Rated 4.28 of 53 votes (598 have, 245 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,Village Gate,Plastylite,$130.00
Chet Baker – Chet,Riverside Records – RLP-1135,US,"Vinyl, LP, Album, Stereo",Jazz,1959,"Hard Bop, Cool Jazz","Rated 4.72 of 25 votes (111 have, 694 want)",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,Reeves Sound Studios,nan,$136.00
Miles Davis – E.S.P.,Columbia – CL 2350,US,"Vinyl, LP, Album, Promo, Mono",Jazz,1965,"Hard Bop, Post Bop, Modal","Rated 5.00 of 2 votes (21 have, 162 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,nan,nan,$140.00
