Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Blue Mitchell – Big 6,Riverside Records – RLP 12-273,US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.45 of 11 votes (74 have, 187 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.6%,nan,nan,$144.23
Lee Morgan – Cornbread,Blue Note – BLP 4222,US,"Vinyl, LP, Album, Mono",Jazz,Jan 1967,"Hard Bop, Post Bop","Rated 4.38 of 47 votes (395 have, 528 want)",Very Good (VG),Sleeve: Very Good (VG),95.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey","All Disc Records, Inc.",$135.00
The Horace Silver Quintet – 6 Pieces Of Silver,Blue Note – BLP 1539,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1959,Hard Bop,"Rated 4.80 of 10 votes (60 have, 90 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$139.99
Dexter Gordon – Our Man In Paris,"Blue Note – 84146, Blue Note – BST 84146",US,"Vinyl, LP, Album, Stereo, Reissue, Liberty Pressing",Jazz,1966,Hard Bop,"Rated 4.75 of 16 votes (111 have, 162 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$129.99
The Miles Davis Quintet – Relaxin' With The Miles Davis Quintet,Prestige – PRLP 7129,US,"Vinyl, LP, Album, Mono, 1st Pressing",Jazz,1958,Hard Bop,"Rated 4.46 of 39 votes (368 have, 744 want)",Good Plus (G+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$140.00
Miles Davis – Collectors' Items,"Prestige – PRLP 7044, Prestige – LP 7044, Prestige – 7044",US,"Vinyl, LP, Album, Mono",Jazz,1958,"Bop, Hard Bop","Rated 4.31 of 16 votes (153 have, 93 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,WOR Studios,"Abbey Record Manufacturing Co., Inc.",$140.00
The Horace Silver Quintet – 6 Pieces Of Silver,Blue Note – BLP 1539,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1959,Hard Bop,"Rated 4.80 of 10 votes (60 have, 90 want)",Very Good (VG),Sleeve: Very Good (VG),99.5%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$138.95
The Incredible Jimmy Smith* – Bucket,"Blue Note – 4235, Blue Note – BLP 4235",US,"Vinyl, LP, Album, Mono",Jazz,1966,"Soul-Jazz, Hard Bop","Rated 4.04 of 27 votes (375 have, 61 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.8%,nan,nan,$136.00
Miles Davis All Stars – Walkin',"Prestige – 7076, Prestige – PRLP 7076",US,"Vinyl, LP, Album, Repress, Mono, Misprint",Jazz,1959,Hard Bop,"No Rating Yet (14 have, 17 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,"Abbey Record Manufacturing Co., Inc.",$140.00
Blue Mitchell – The Thing To Do,Blue Note – BLP 4178,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1967,Hard Bop,"Rated 5.00 of 2 votes (3 have, 44 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$140.00
Jackie McLean – Let Freedom Ring,Blue Note – BST 84106,US,"Vinyl, LP, Album",Jazz,Apr 1963,Hard Bop,"Rated 4.75 of 24 votes (111 have, 256 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,Plastylite,$140.00
Bill Evans – Interplay,Riverside Records – RM 445,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1966,Hard Bop,"Rated 4.50 of 6 votes (17 have, 65 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.9%,nan,nan,$140.00
Kenny Dorham Septet Featuring Cannonball Adderley – Blue Spring,Riverside Records – RLP 12-297,US,"Vinyl, LP, Album, Mono",Jazz,1959,Hard Bop,"Rated 4.42 of 12 votes (81 have, 134 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.1%,nan,nan,$140.00
The Horace Silver Quintet – Song For My Father (Cantiga Para Meu Pai),"Blue Note – BLP 4185, Blue Note – 4185",US,"Vinyl, LP, Mono, No DG",Jazz,Dec 1964,"Hard Bop, Latin Jazz","Rated 4.53 of 17 votes (143 have, 292 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$130.00
Miles Davis – 'Round About Midnight,Columbia – CL 949,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,"Rated 4.40 of 5 votes (42 have, 154 want)",Good (G),Sleeve: No Cover,98.6%,nan,nan,$129.99
Art Blakey & The Jazz Messengers – Meet You At The Jazz Corner Of The World (Volume 1),Blue Note – BLP 4054,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1963,Hard Bop,"Rated 5.00 of 1 votes (35 have, 23 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Birdland,Plastylite,$129.98
The Horace Silver Quintet – Silver's Serenade,Blue Note – BLP 4131,US,"Vinyl, LP, Album, Mono",Jazz,Jul 1963,Hard Bop,"Rated 4.27 of 37 votes (296 have, 166 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$139.68
Donald Byrd – Free Form,Blue Note – BLP 4118,US,"Vinyl, LP, Album, Mono",Jazz,Oct 1966,Hard Bop,"Rated 4.38 of 55 votes (346 have, 378 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$139.99
"Art Blakey, Charlie Persip, Elvin Jones, ""Philly"" Joe Jones – Gretsch Drum Night At Birdland Vol. 2",Roulette – SR-52067,US,"Vinyl, LP, Album, Stereo",Jazz,1961,Hard Bop,"Rated 3.67 of 3 votes (42 have, 66 want)",Mint (M),Sleeve: Mint (M),100.0%,nan,nan,$129.99
Thelonious Monk – Brilliant Corners,Riverside Records – RLP 12-226,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1958,Hard Bop,"Rated 4.85 of 52 votes (350 have, 402 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,Reeves Sound Studios,nan,$144.99
Stan Getz – At The Shrine,Norgran Records – MG N 2000-2,US,"2 × Vinyl, LP, Album, Mono
Box Set",Jazz,1955,"Bop, Hard Bop, Cool Jazz","Rated 4.13 of 8 votes (53 have, 109 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,Shrine Auditorium,nan,$129.99
The Prestige All Stars – All Day Long,Prestige – PRLP 7081,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1958,Hard Bop,"Rated 4.25 of 4 votes (14 have, 105 want)",Very Good Plus (VG+),Sleeve: Generic,99.5%,nan,"Abbey Record Manufacturing Co., Inc.",$129.00
Clifford Brown And Max Roach – Study In Brown,"EmArcy – MG 36037, EmArcy – MG-36037",US,"Vinyl, LP, Album, Mono",Jazz,1955,"Bop, Hard Bop","Rated 4.75 of 48 votes (375 have, 416 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,nan,"RCA Records Pressing Plant, Indianapolis",$135.00
Sonny Rollins – Sonny Boy,"Prestige – PR 7207, Prestige – PRLP 7207",US,"Vinyl, LP, Album, Remastered, Mono",Jazz,1961,"Bop, Hard Bop","Rated 4.27 of 22 votes (134 have, 123 want)",Very Good (VG),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$130.00
Charles Mingus – Mingus Ah Um,Columbia – CL 1370,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Hard Bop, Bop","Rated 4.69 of 120 votes (792 have, 1969 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Columbia 30th Street Studio,nan,$134.99
"Art Blakey Quintet – A Night At Birdland, Volume 2",Blue Note – BLP 1522,US,"Vinyl, LP, Compilation, Reissue, Mono",Jazz,1966,Hard Bop,"Rated 4.80 of 10 votes (120 have, 131 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.9%,Birdland,nan,$129.99
The Jazz Messengers* – Avila & Tequila,Blue Note – 45-1695,US,"Vinyl, 7"", 45 RPM",Jazz,1957,Hard Bop,"Rated 5.00 of 2 votes (27 have, 29 want)",Near Mint (NM or M-),Sleeve: Generic,100.0%,nan,nan,$130.00
Miles Davis – Volume 1,Blue Note – BLP 1501,US,"Vinyl, LP, Compilation, Mono, Reissue, Remastered",Jazz,1963,Hard Bop,"Rated 4.10 of 10 votes (56 have, 98 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$140.00
The Jazz Messengers* – The Jazz Messengers,Columbia – CL 897,US,"Vinyl, LP, Album, Mono",Jazz,1956,Hard Bop,"Rated 5.00 of 3 votes (24 have, 86 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.2%,nan,nan,$137.00
Herbie Hancock – Maiden Voyage,"Blue Note – BST 84195, Blue Note – ST-84195",US,"Vinyl, LP, Album, Stereo",Jazz,1965,"Hard Bop, Modal","Rated 4.73 of 74 votes (630 have, 1083 want)",Very Good (VG),Sleeve: Good (G),100.0%,nan,Plastylite,$135.00
Jackie McLean – A Fickle Sonance,Blue Note – BLP 4089,US,"Vinyl, LP, Album, Mono",Jazz,1962,Hard Bop,"Rated 4.60 of 20 votes (99 have, 272 want)",Good Plus (G+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$140.00
The Horace Silver Quintet – Horace-Scope,Blue Note – BLP 4042,US,"Vinyl, LP, Album, Mono",Jazz,Sep 1960,Hard Bop,"Rated 4.29 of 48 votes (354 have, 269 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$129.00
Dexter Gordon – Go!,"Blue Note – BST-84112, Blue Note – 84112",US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1967,Hard Bop,"Rated 4.77 of 13 votes (109 have, 246 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,nan,nan,$129.99
"Art Blakey Quintet – A Night At Birdland, Volume 1",Blue Note – BLP 1521,US,"Vinyl, LP, Compilation, Reissue, Mono",Jazz,1963,Hard Bop,"Rated 4.67 of 3 votes (33 have, 55 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.7%,Birdland,Plastylite,$135.00
The Horace Silver Quintet – Song For My Father = Cantiga Para Meu Pai,"Blue Note – 84185, Blue Note – BST 84185",US,"Vinyl, LP, Album, Reissue, Stereo, NY USA Label",Jazz,1966,"Hard Bop, Latin Jazz","Rated 5.00 of 1 votes (30 have, 164 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.1%,nan,nan,$130.99
Yusef Lateef – Other Sounds,New Jazz – NJLP 8218,US,"Vinyl, LP, Album, Mono, Deep Groove",Jazz,1959,Hard Bop,"Rated 4.15 of 26 votes (186 have, 305 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$140.00
Miles Davis – Miles Davis And The Modern Jazz Giants,Prestige – PRLP 7150,US,"Vinyl, LP, Compilation, Mono",Jazz,1959,Hard Bop,"Rated 4.56 of 52 votes (497 have, 416 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,nan,nan,$143.91
The Horace Silver Quintet – Song For My Father (Cantiga Para Meu Pai),"Blue Note – BLP 4185, Blue Note – 4185",US,"Vinyl, LP, Mono, No DG",Jazz,Dec 1964,"Hard Bop, Latin Jazz","Rated 4.53 of 17 votes (143 have, 292 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$129.99
Miles Davis – 'Round About Midnight,Columbia – CL 949,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,"Rated 4.57 of 23 votes (219 have, 278 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,nan,nan,$144.00
The Horace Silver Quintet Plus J.J. Johnson – The Cape Verdean Blues,Blue Note – BST 84220,US,"Vinyl, LP, Album, Stereo",Jazz,Dec 1965,"Hard Bop, Post Bop","Rated 4.53 of 59 votes (400 have, 245 want)",Very Good Plus (VG+),Sleeve: Good (G),100.0%,nan,Plastylite,$140.00
