Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
John Coltrane – Olé Coltrane,Atlantic – 1373,US,"Vinyl, LP, Album, Mono",Jazz,1961,"Hard Bop, Avant-garde Jazz, Modal","Rated 4.80 of 15 votes (81 have, 269 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,A&R Studios,MGM Custom Pressing Division,$175.00
Charles Mingus – Mingus At Monterey,"Jazz Workshop – JWS 001, Jazz Workshop – JWS 002",US,"2 × Vinyl, LP, Album",Jazz,1966,"Hard Bop, Post Bop","Rated 4.64 of 11 votes (80 have, 86 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,Monterey Jazz Festival,nan,$169.00
Charles Mingus – Mingus At Monterey,"Jazz Workshop – JWS 001, Jazz Workshop – JWS 002",US,"2 × Vinyl, LP, Album",Jazz,1966,"Hard Bop, Post Bop","Rated 4.64 of 11 votes (80 have, 86 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,Monterey Jazz Festival,nan,$175.00
"Sonny Rollins – A Night At The ""Village Vanguard""",Blue Note – BLP 1581,US,"Vinyl, LP, Album, Mono, Reissue",Jazz,1966,"Hard Bop, Bop","Rated 4.60 of 5 votes (58 have, 135 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,Village Vanguard,nan,$174.99
Art Blakey & The Jazz Messengers – Meet You At The Jazz Corner Of The World (Volume 1),Blue Note – BST 84054,US,"Vinyl, LP, Album, Stereo",Jazz,Jul 1961,Hard Bop,"Rated 4.67 of 6 votes (62 have, 65 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,Birdland,Plastylite,$179.99
The Miles Davis Quintet – Cookin' With The Miles Davis Quintet,"Prestige – PRLP 7094, Prestige – Prestige 7094",US,"Vinyl, LP, Album, Mono, Repress",Jazz,1958,Hard Bop,"Rated 4.82 of 34 votes (315 have, 258 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,nan,"Abbey Record Manufacturing Co., Inc.",$171.09
Don Friedman Trio – Circle Waltz,"Riverside Records – RLP 431, Riverside Records – 431",US,"Vinyl, LP, Album, Mono",Jazz,1962,"Hard Bop, Post Bop","Rated 4.50 of 2 votes (20 have, 71 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,Plaza Sound Studios,MGM Record Manufacturing Division,$175.00
"Freddie Redd Quartet With Jackie McLean – The Music From ""The Connection""",Blue Note – BLP 4027,US,"Vinyl, LP, Album, Mono",Jazz,1963,Hard Bop,"Rated 4.43 of 14 votes (66 have, 117 want)",Very Good (VG),Sleeve: Near Mint (NM or M-),96.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$180.00
The John Coltrane Quartet – Africa / Brass,"Impulse! – A-6-S, Impulse! – A-6",US,"Vinyl, LP, Album, Stereo",Jazz,Sep 1961,"Free Jazz, Hard Bop, Modal","Rated 4.53 of 79 votes (665 have, 657 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.9%,nan,nan,$175.00
Art Farmer – Modern Art,United Artists Records – UAL-4007,US,"Vinyl, LP, Album, Mono",Jazz,1958,"Bop, Post Bop, Hard Bop","Rated 4.50 of 20 votes (157 have, 161 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.8%,nan,nan,$165.00
Herbie Hancock – Takin' Off,Blue Note – BST 84109,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1966,Hard Bop,"Rated 5.00 of 5 votes (46 have, 156 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$165.00
Joe Gordon – Introducing Joe Gordon,EmArcy – MG 26046,US,"Vinyl, LP, 10"", Album",Jazz,1955,Hard Bop,"Rated 5.00 of 1 votes (21 have, 35 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$169.99
"Johnny Griffin Sextet, Johnny Griffin – Johnny Griffin Sextet",Riverside Records – RLP 12-264,US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.22 of 9 votes (81 have, 136 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$175.00
Freddie Hubbard – Breaking Point,Blue Note – BST 84172,US,"Vinyl, LP, Album, Repress",Jazz,1966,"Hard Bop, Post Bop, Modal","Rated 4.38 of 16 votes (134 have, 142 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$175.00
Booker Ervin – The Freedom Book,"Prestige – PR 7295, Prestige – PRST 7295",US,"Vinyl, LP, Album, Stereo",Jazz,Mar 1964,Hard Bop,"Rated 4.50 of 12 votes (65 have, 175 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$175.00
Sonny Rollins – Way Out West,Contemporary Records – LAC 12118,UK,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.80 of 5 votes (49 have, 168 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),92.6%,Contemporary's Studio,nan,$173.63
Ernie Henry Quartet – Seven Standards And A Blues,Riverside Records – RLP 12-248,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,"Rated 3.60 of 5 votes (46 have, 91 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),91.7%,Reeves Sound Studios,nan,$160.00
Lee Morgan – The Rumproller,"Blue Note – BST 84199, Blue Note – ST-84199, Blue Note – 84199",US,"Vinyl, LP, Album, Stereo",Jazz,Dec 1965,Hard Bop,"Rated 4.72 of 36 votes (324 have, 269 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),97.2%,nan,Plastylite,$150.00
Miles Davis – Miles Davis And The Modern Jazz Giants,Prestige – PRLP 7150,US,"Vinyl, LP, Compilation, Mono",Jazz,1959,Hard Bop,"Rated 4.56 of 52 votes (497 have, 416 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$152.93
Frank Strozier – Fantastic Frank Strozier,"Vee Jay Records – VJLP 3005, Vee Jay Records – SR 3005",US,"Vinyl, LP, Album, Stereo",Jazz,1960,Hard Bop,"Rated 4.75 of 4 votes (25 have, 42 want)",Mint (M),Sleeve: Near Mint (NM or M-),100.0%,Fine Recording Studios,nan,$150.00
Anthony Williams – Spring,Blue Note – BLP 4216,US,"Vinyl, LP, Album, Mono",Jazz,1966,"Free Jazz, Post Bop, Hard Bop","Rated 4.64 of 22 votes (108 have, 324 want)",Very Good (VG),Sleeve: Not Graded,99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$150.00
The Miles Davis Quintet – Relaxin' With The Miles Davis Quintet,"Prestige – 7129, Prestige – PRLP 7129",US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.72 of 72 votes (528 have, 433 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,nan,$150.00
