Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price,artist,album,reclabel,recyear,sleeve_cond_abbr,media_cond_abbr,seller_rating,rating,votes,haves,wants,price
Thelonious Monk Septet – Monk's Music,Riverside Records – RLP 12-242,US,"Vinyl, LP, Album, Reissue, Repress, Mono",Jazz,1960,"Bop, Hard Bop",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,,MGM Custom Pressing Division,$196.00,Thelonious Monk Septet , Monk's Music,Riverside Records ,60,VG+,VG+,1.0,4.72,25.0,181,197,196.0
Miles Davis – Seven Steps To Heaven,Columbia – CS 8851,US,"Vinyl, LP, Album, Stereo",Jazz,Sep 1963,"Hard Bop, Modal",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.0%,,"Columbia Records Pressing Plant, Pitman",$195.00,Miles Davis , Seven Steps To Heaven,Columbia ,63,VG+,VG+,0.99,4.61,23.0,251,133,195.0
The Miles Davis Quintet – Steamin' With The Miles Davis Quintet,"Prestige – 7200, Prestige – PRLP 7200",US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),99.0%,,"Abbey Record Manufacturing Co., Inc.",$199.99,The Miles Davis Quintet , Steamin' With The Miles Davis Quintet,Prestige ,61,VG,VG+,0.99,4.57,83.0,836,646,199.99
Thad Jones / Kenny Burrell / Frank Wess / Mal Waldron / Paul Chambers (3) / Arthur Taylor* – After Hours,Prestige – 7118,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,Fair (F),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",,$199.99,Thad Jones / Kenny Burrell / Frank Wess / Mal Waldron / Paul Chambers (3) / Arthur Taylor* , After Hours,Prestige ,57,VG+,F,1.0,4.55,11.0,64,317,199.99
Donald Byrd – Fuego,"Blue Note – BLP 4026, Blue Note – 4026",US,"Vinyl, LP, Album, Mono",Jazz,Jun 1960,Hard Bop,Very Good (VG),Sleeve: Very Good Plus (VG+),99.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$175.00,Donald Byrd , Fuego,Blue Note ,60,VG+,VG,0.995,4.7,40.0,242,395,175.0
Max Roach – We Insist! Max Roach's Freedom Now Suite,Candid – CJM 8002,US,"Vinyl, LP, Album, Mono",Jazz,Jan 1961,"Afro-Cuban Jazz, Hard Bop",Very Good (VG),Sleeve: Good (G),95.1%,Nola Recording Studios,,$163.40,Max Roach , We Insist! Max Roach's Freedom Now Suite,Candid ,61,G,VG,0.951,4.72,53.0,296,864,163.4
Cannonball Adderley And His Orchestra – African Waltz,Riverside Records – RLP 9377,US,"Vinyl, LP, Album, Stereo",Jazz,1961,"Hard Bop, Soul-Jazz",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,Plaza Sound Studios,,$175.00,Cannonball Adderley And His Orchestra , African Waltz,Riverside Records ,61,NM or M-,NM or M-,1.0,4.56,9.0,157,37,175.0
Grant Green – Grant's First Stand,Blue Note – BLP 4064,US,"Vinyl, LP, Album, Mono",Jazz,May 1961,"Hard Bop, Soul-Jazz",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$174.00,Grant Green , Grant's First Stand,Blue Note ,61,VG+,VG,1.0,4.35,26.0,129,453,174.0
Big John Patton* – Oh Baby!,Blue Note – BLP 4192,US,"Vinyl, LP, Album, Mono",Jazz,1965,"Bop, Hard Bop",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$174.89,Big John Patton* , Oh Baby!,Blue Note ,65,VG+,VG+,1.0,4.55,20.0,117,160,174.89
Miles Davis All Stars – Walkin',"Prestige – 7076, Prestige – PRLP 7076",US,"Vinyl, LP, Album, Repress, Mono",Jazz,1959,Hard Bop,Very Good Plus (VG+),Sleeve: Fair (F),100.0%,,"Abbey Record Manufacturing Co., Inc.",$175.00,Miles Davis All Stars , Walkin',Prestige ,59,F,VG+,1.0,4.39,38.0,347,188,175.0
Hank Mobley – Dippin',"Blue Note – 84209, Blue Note – BST 84209, Blue Note – ST-84209",US,"Vinyl, LP, Album, Stereo",Jazz,1966,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,,,$175.00,Hank Mobley , Dippin',Blue Note ,66,VG+,VG+,0.997,4.52,21.0,159,238,175.0
The Cecil Taylor Quintet* – Stereo Drive,United Artists Records – UAS 5014,US,"Vinyl, LP, Album, Stereo",Jazz,1959,"Hard Bop, Modal",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,,,$165.00,The Cecil Taylor Quintet* , Stereo Drive,United Artists Records ,59,VG,NM or M-,1.0,4.33,9.0,67,162,165.0
Charles Mingus – Mingus Ah Um,Columbia – CL 1370,Canada,"Vinyl, LP, Album, Mono",Jazz,1959,"Hard Bop, Bop",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,,,$180.00,Charles Mingus , Mingus Ah Um,Columbia ,59,VG+,VG+,1.0,5.0,7.0,51,395,180.0
Wayne Shorter – Night Dreamer,Blue Note – BLP 4173,US,"Vinyl, LP, Album, Mono",Jazz,1964,Hard Bop,Good Plus (G+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$175.00,Wayne Shorter , Night Dreamer,Blue Note ,64,VG,G+,1.0,4.53,30.0,167,655,175.0
John Jenkins (2) – Jazz Eyes,"Regent – MG 6056, Regent – RMG 6056",US,"Vinyl, LP, Album",Jazz,1957,"Hard Bop, Bop",Very Good Plus (VG+),Sleeve: Very Good (VG),92.6%,"Van Gelder Studio, Hackensack, New Jersey",,$173.55,John Jenkins (2) , Jazz Eyes,Regent ,57,VG,VG+,0.9259999999999999,3.75,4.0,39,107,173.55
Red Garland – Red In Bluesville,"Prestige – PRLP 7157, Prestige – 7157",US,"Vinyl, LP, Album, Mono","Jazz, Blues",1959,Hard Bop,Very Good Plus (VG+),Sleeve: Good Plus (G+),99.0%,,"Abbey Record Manufacturing Co., Inc.",$171.84,Red Garland , Red In Bluesville,Prestige ,59,G+,VG+,0.99,4.67,12.0,153,137,171.84
Sonny Red With Grant Green And Barry Harris (2) – The Mode,Jazzland – JLP 59,US,"Vinyl, LP, Album, Mono",Jazz,1962,Hard Bop,Very Good (VG),Sleeve: Very Good (VG),100.0%,Plaza Sound Studios,,$175.00,Sonny Red With Grant Green And Barry Harris (2) , The Mode,Jazzland ,62,VG,VG,1.0,3.6,10.0,46,168,175.0
The Horace Silver Quintet & Trio* – Blowin' The Blues Away,Blue Note – BLP 4017,US,"Vinyl, LP, Album, Reissue, Mono, Microgroove",Jazz,1963,Hard Bop,Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$179.00,The Horace Silver Quintet & Trio* , Blowin' The Blues Away,Blue Note ,63,NM or M-,VG+,1.0,4.67,6.0,54,78,179.0
Grant Green – Green Street,Blue Note – BLP 4071,US,"Vinyl, LP, Album, Mono",Jazz,Sep 1961,Hard Bop,Good Plus (G+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$161.82,Grant Green , Green Street,Blue Note ,61,VG,G+,1.0,4.59,37.0,187,677,161.82
The Miles Davis Quintet – Cookin' With The Miles Davis Quintet,"Prestige – 7094, Prestige – PRLP 7094",US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1964,Hard Bop,Near Mint (NM or M-),Sleeve: Good Plus (G+),100.0%,,,$175.00,The Miles Davis Quintet , Cookin' With The Miles Davis Quintet,Prestige ,64,G+,NM or M-,1.0,4.25,8.0,90,187,175.0
Cannonball Adderley – Cannonball Adderley-Live!,Capitol Records – ST 2399,US,"Vinyl, LP, Album",Jazz,1965,"Hard Bop, Soul-Jazz, Modal",Mint (M),Sleeve: Near Mint (NM or M-),100.0%,Shelly's Manne-Hole,,$169.50,Cannonball Adderley , Cannonball Adderley-Live!,Capitol Records ,65,NM or M-,M,1.0,3.86,21.0,295,59,169.5
Sonny Rollins Quartet – Tenor Madness,Prestige – PRLP 7047,US,"Vinyl, LP, Album, Mono",Jazz,Nov 1956,"Bop, Hard Bop",Good Plus (G+),Sleeve: Good Plus (G+),99.8%,"Van Gelder Studio, Hackensack, New Jersey",,$174.99,Sonny Rollins Quartet , Tenor Madness,Prestige ,56,G+,G+,0.998,4.42,26.0,181,335,174.99
Jackie McLean – Demon's Dance,Blue Note – BST 84345,US,"Vinyl, LP, Album, Stereo",Jazz,Nov 1970,"Hard Bop, Post Bop",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$179.99,Jackie McLean , Demon's Dance,Blue Note ,70,VG+,NM or M-,0.998,4.49,37.0,221,458,179.99
Booker Ervin – The Space Book,"Prestige – PR 7386, Prestige – PRST 7386",US,"Vinyl, LP, Album, Stereo",Jazz,1965,"Hard Bop, Modal",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$174.89,Booker Ervin , The Space Book,Prestige ,65,VG+,VG+,0.9990000000000001,4.6,10.0,87,146,174.89
Dexter Gordon – Doin' Allright,Blue Note – BLP 4077,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1963,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$180.00,Dexter Gordon , Doin' Allright,Blue Note ,63,VG+,VG+,1.0,4.88,8.0,49,67,180.0
Various – The Jazz Life!,"Candid – 8019, Candid – CJM-8019",US,"Vinyl, LP, Album, Mono","Jazz, Blues",Oct 1961,"Hard Bop, Swing",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,Nola Recording Studios,,$180.00,Various , The Jazz Life!,Candid ,61,NM or M-,NM or M-,1.0,4.83,6.0,29,17,180.0
Miles Davis All Stars – Walkin',Prestige – PRLP 7076,US,"Vinyl, LP, Album, Compilation, Mono",Jazz,1957,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,,"Abbey Record Manufacturing Co., Inc.",$179.99,Miles Davis All Stars , Walkin',Prestige ,57,VG,VG+,1.0,4.5,30.0,311,340,179.99
John Coltrane – Blue Train,Blue Note – BLP 1577,US,"Vinyl, LP, Album, Mono, Reissue",Jazz,1966,Hard Bop,Good Plus (G+),Sleeve: Fair (F),100.0%,,,$169.00,John Coltrane , Blue Train,Blue Note ,66,F,G+,1.0,4.25,8.0,44,541,169.0
Charlie Rouse / Seldon Powell – We Paid Our Dues!,Epic – LA 16018,USA & Europe,"Vinyl, LP, Mono",Jazz,1961,Hard Bop,Very Good (VG),Sleeve: Very Good (VG),99.2%,,,$175.00,Charlie Rouse / Seldon Powell , We Paid Our Dues!,Epic ,61,VG,VG,0.992,4.0,4.0,27,65,175.0
John Coltrane – Stardust,"Prestige – PR 7268, Prestige – PRLP 7268",US,"Vinyl, LP, Album, Mono",Jazz,1963,Hard Bop,Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),92.6%,,,$162.28,John Coltrane , Stardust,Prestige ,63,VG+,NM or M-,0.9259999999999999,4.08,25.0,174,304,162.28
"Charlie Rouse, Seldon Powell – We Paid Our Dues!",Epic – BA 17018,US,"Vinyl, LP, Stereo",Jazz,1961,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,,,$175.00,"Charlie Rouse, Seldon Powell ", We Paid Our Dues!,Epic ,61,VG+,VG+,0.998,3.0,1.0,8,37,175.0
Blue Mitchell – Blue's Moods,Riverside Records – RLP 9336,US,"Vinyl, LP, Album, Stereo",Jazz,1960,Hard Bop,Very Good (VG),Sleeve: Very Good (VG),100.0%,Plaza Sound Studios,,$175.00,Blue Mitchell , Blue's Moods,Riverside Records ,60,VG,VG,1.0,4.5,4.0,26,135,175.0
Miles Davis – Seven Steps To Heaven,Columbia – CS 8851,US,"Vinyl, LP, Album, Stereo",Jazz,Sep 1963,"Hard Bop, Modal",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),96.1%,,"Columbia Records Pressing Plant, Pitman",$170.00,Miles Davis , Seven Steps To Heaven,Columbia ,63,NM or M-,VG+,0.961,4.61,23.0,251,133,170.0
The Miles Davis Quintet – Miles Smiles,Columbia – CL 2601,US,"Vinyl, LP, Album, Mono",Jazz,Jan 1967,"Hard Bop, Post Bop, Modal",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,,Columbia,$180.00,The Miles Davis Quintet , Miles Smiles,Columbia ,67,VG+,VG+,0.995,,,25,103,180.0
Eric Dolphy – Out There,"New Jazz – 8252, New Jazz – NJLP 8252",US,"Vinyl, LP, Album, Mono",Jazz,1961,"Hard Bop, Free Jazz, Modal",Very Good (VG),Sleeve: Good (G),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$175.00,Eric Dolphy , Out There,New Jazz ,61,G,VG,0.9990000000000001,5.0,1.0,13,105,175.0
Art Blakey And The Jazz Messengers* – Tough!,Cadet – 4049,US,"Vinyl, LP, Album, Mono",Jazz,1966,Hard Bop,Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,Swedien Recording Studio,,$165.54,Art Blakey And The Jazz Messengers* , Tough!,Cadet ,66,NM or M-,NM or M-,1.0,4.5,2.0,36,45,165.54
"Roy Eldridge, Zoot Sims – Roy Eldridge And Zoot Sims With The European Allstars",Discovery Records – DL-2009,US,"Vinyl, LP, 10"", Mono",Jazz,1954,"Bop, Space-Age, Swing, Hard Bop",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,,,$175.99,"Roy Eldridge, Zoot Sims ", Roy Eldridge And Zoot Sims With The European Allstars,Discovery Records ,54,VG+,VG+,0.995,5.0,1.0,2,13,175.99
The Incredible Jimmy Smith* – Back At The Chicken Shack,"Blue Note – BST 84117, Blue Note – ST-84117",US,"Vinyl, LP, Album, Stereo",Jazz,1963,Hard Bop,Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.2%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$177.99,The Incredible Jimmy Smith* , Back At The Chicken Shack,Blue Note ,63,NM or M-,VG+,0.992,4.33,43.0,433,315,177.99
Lee Morgan – The Rumproller,"Blue Note – BST 84199, Blue Note – ST-84199, Blue Note – 84199",US,"Vinyl, LP, Album, Stereo",Jazz,Dec 1965,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,,Plastylite,$170.00,Lee Morgan , The Rumproller,Blue Note ,65,VG,VG+,1.0,4.72,36.0,324,269,170.0
John Coltrane – Lush Life,"Prestige – 7188, Prestige – PRLP 7188",US,"Vinyl, LP, Album, Mono",Jazz,Jan 1961,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),99.6%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$169.99,John Coltrane , Lush Life,Prestige ,61,VG,VG+,0.996,4.51,76.0,573,640,169.99
Donald Byrd – At The Half Note Cafe (Volume 1),"Blue Note – 84060, Blue Note – BST 84060",US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1966,Hard Bop,Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,Half Note,,$179.99,Donald Byrd , At The Half Note Cafe (Volume 1),Blue Note ,66,NM or M-,NM or M-,1.0,5.0,1.0,4,33,179.99
Thelonious Monk – Brilliant Corners,Riverside Records – RLP 12-226,US,"Vinyl, LP, Album, Mono, Deep Groove",Jazz,1957,Hard Bop,Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,Reeves Sound Studios,,$179.99,Thelonious Monk , Brilliant Corners,Riverside Records ,57,VG+,VG,1.0,4.38,56.0,381,1062,179.99
The Horace Silver Quintet – Song For My Father (Cantiga Para Meu Pai),"Blue Note – BLP 4185, Blue Note – 4185",US,"Vinyl, LP, Mono, No DG",Jazz,Dec 1964,"Hard Bop, Latin Jazz",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$180.00,The Horace Silver Quintet , Song For My Father (Cantiga Para Meu Pai),Blue Note ,64,VG,VG,1.0,4.53,17.0,143,292,180.0
Miles Davis – Volume 2,Blue Note – BLP 1502,US,"Vinyl, LP, Compilation, Remastered, Mono",Jazz,Feb 1956,"Hard Bop, Bop",Very Good Plus (VG+),Sleeve: Fair (F),100.0%,WOR Studios,Plastylite,$175.00,Miles Davis , Volume 2,Blue Note ,56,F,VG+,1.0,4.32,25.0,219,302,175.0
The Dave Brubeck Quartet – Time Further Out (Miro Reflections),Columbia – CS 8490,US,"Vinyl, LP, Album, Stereo",Jazz,1961,Hard Bop,Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.6%,,"Columbia Records Pressing Plant, Terre Haute",$180.00,The Dave Brubeck Quartet , Time Further Out (Miro Reflections),Columbia ,61,NM or M-,VG+,0.996,4.6,5.0,21,38,180.0
Charles Mingus – Mingus Ah Um,Columbia – CL 1370,US,"Vinyl, LP, Album, Promo, Mono",Jazz,1959,"Hard Bop, Bop",Good Plus (G+),Sleeve: Very Good (VG),100.0%,Columbia 30th Street Studio,,$179.99,Charles Mingus , Mingus Ah Um,Columbia ,59,VG,G+,1.0,4.82,11.0,92,498,179.99
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,Blue Note – BLP 4003,US,"Vinyl, LP, Album, Repress, Mono, NY USA Pressing",Jazz,1962,Hard Bop,Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$168.00,Art Blakey And The Jazz Messengers* , Art Blakey And The Jazz Messengers,Blue Note ,62,VG+,VG,1.0,4.89,18.0,133,324,168.0
"Jackie McLean – 4, 5 & 6",New Jazz – NJ 8279,US,"Vinyl, LP, Album, Reissue",Jazz,1962,Hard Bop,Mint (M),Sleeve: Very Good (VG),100.0%,,,$175.00,Jackie McLean ," 4, 5 & 6",New Jazz ,62,VG,M,1.0,4.2,5.0,69,79,175.0
"Freddie Hubbard – The Night Of The Cookers - Live At Club La Marchal, Volume 2",Blue Note – BLP 4208,US,"Vinyl, LP, Album, Mono",Jazz,1966,"Hard Bop, Post Bop",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,Club La Marchal,Plastylite,$175.00,Freddie Hubbard ," The Night Of The Cookers - Live At Club La Marchal, Volume 2",Blue Note ,66,VG+,VG+,0.997,4.18,11.0,66,128,175.0
"Freddie Redd Quartet With Jackie McLean – The Music From ""The Connection""","Blue Note – BLP 4027, Blue Note – 4027",US,"Vinyl, LP, Album, Mono, Deep groove labels",Jazz,1960,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),97.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$174.99,Freddie Redd Quartet With Jackie McLean ," The Music From ""The Connection""",Blue Note ,60,VG,VG+,0.9740000000000001,4.31,16.0,194,182,174.99
John Coltrane – Giant Steps,"Atlantic – SD-1311, Atlantic – SD 1311",US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1965,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),,,,$176.56,John Coltrane , Giant Steps,Atlantic ,65,VG+,VG+,,5.0,1.0,11,119,176.56
