Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Grant Green – Grantstand,Jazz,Feb 1962,"Soul-Jazz, Hard Bop","Rated 4.34 of 29 votes (178 have, 359 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.5%,$324.41
Miles Davis – Miles Davis And The Modern Jazz Giants,Jazz,1957,"Cool Jazz, Hard Bop","Rated 4.50 of 6 votes (24 have, 124 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,$331.96
The Johnny Griffin Quartet – Johnny Griffin,Jazz,1958,Hard Bop,"Rated 3.25 of 4 votes (27 have, 90 want)",Very Good (VG),Sleeve: Very Good (VG),99.3%,$319.99
John Coltrane And Johnny Hartman – John Coltrane And Johnny Hartman,Jazz,1963,"Ballad, Vocal, Hard Bop","Rated 4.38 of 60 votes (496 have, 655 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),72.7%,$348.31
Harold Land – West Coast Blues!,Jazz,1960,Hard Bop,"Rated 5.00 of 3 votes (16 have, 36 want)",Very Good Plus (VG+),Sleeve: Good (G),97.6%,$370.00
The Horace Silver Quintet – The Stylings Of Silver,Jazz,Jul 1957,Hard Bop,"Rated 4.63 of 24 votes (177 have, 183 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$336.05
John Coltrane – Blue Train,Jazz,1959,Hard Bop,"Rated 4.75 of 69 votes (312 have, 988 want)",Very Good (VG),Sleeve: Very Good (VG),99.5%,$399.99
Grant Green – Feelin' The Spirit,Jazz,1963,"Hard Bop, Soul-Jazz","No Rating Yet (0 have, 15 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,$330.00
Lee Morgan – The Cooker,Jazz,1958,Hard Bop,"Rated 4.54 of 24 votes (136 have, 650 want)",Good Plus (G+),Sleeve: Very Good (VG),100.0%,$399.99
The Jazz Messengers* – At The Cafe Bohemia Volume 1,Jazz,Jan 1956,Hard Bop,"Rated 4.52 of 46 votes (303 have, 435 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,$325.00
