Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Jackie McLean – Right Now!,Jazz,1966,Hard Bop,"Rated 4.45 of 22 votes (122 have, 246 want)",Mint (M),Sleeve: Near Mint (NM or M-),99.7%,"$1,100.00"
Mal Waldron Quintet Featuring Gigi Gryce And Idrees Sulieman – Mal-1,Jazz,May 1957,Hard Bop,"Rated 4.67 of 12 votes (53 have, 204 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"$1,200.00"
"Coleman Hawkins With Eddie ""Lockjaw"" Davis – Night Hawk",Jazz,1961,Hard Bop,"Rated 4.31 of 13 votes (72 have, 94 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,$666.00
Mal Waldron Quintet Featuring Gigi Gryce And Idrees Sulieman – Mal-1,Jazz,May 1957,Hard Bop,"Rated 4.67 of 12 votes (53 have, 204 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,$795.00
Miles Davis – Miles Davis And The Modern Jazz Giants,Jazz,1957,"Cool Jazz, Hard Bop","Rated 4.50 of 6 votes (24 have, 124 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"$1,623.89"
Tina Brooks – True Blue,Jazz,1960,Hard Bop,"Rated 4.58 of 33 votes (91 have, 682 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.0%,"$5,000.00"
Joe Henderson – Page One,Jazz,1963,Hard Bop,"Rated 4.61 of 33 votes (141 have, 737 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"$1,500.00"
Donald Byrd – Byrd In Flight,Jazz,1960,"Hard Bop, Latin Jazz","Rated 4.50 of 28 votes (143 have, 552 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.6%,"$1,050.00"
The Dave Bailey Sextet – Bash!,Jazz,1961,Hard Bop,"Rated 4.67 of 3 votes (40 have, 133 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,$849.99
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,Jazz,May 1959,"Hard Bop, Soul-Jazz","Rated 4.68 of 50 votes (262 have, 863 want)",Mint (M),Sleeve: Mint (M),100.0%,$700.00
Donald Byrd – At The Half Note Cafe (Volume 1),Jazz,Jul 1961,Hard Bop,"Rated 4.53 of 19 votes (132 have, 161 want)",Mint (M),Sleeve: Mint (M),100.0%,$600.00
Hank Mobley – Hank Mobley And His All Stars,Jazz,Mar 1957,Hard Bop,"Rated 4.26 of 19 votes (92 have, 338 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"$1,500.00"
The Miles Davis Quintet – Relaxin' With The Miles Davis Quintet,Jazz,1958,Hard Bop,"Rated 4.46 of 39 votes (368 have, 744 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.7%,$900.00
Sonny Rollins Quintet – Plays,Jazz,1956,"Hard Bop, Bop","Rated 4.00 of 3 votes (22 have, 126 want)",Very Good (VG),Sleeve: Good Plus (G+),99.3%,$800.00
Dizzy Reece – Asia Minor,Jazz,1962,Hard Bop,"Rated 4.17 of 6 votes (44 have, 213 want)",Mint (M),Sleeve: Very Good Plus (VG+),100.0%,$700.00
Sonny Rollins Quartet – Tenor Madness,Jazz,Nov 1956,"Bop, Hard Bop","Rated 4.42 of 26 votes (181 have, 335 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$700.00
Donald Byrd – Byrd In Paris,Jazz,1960,Hard Bop,"Rated 5.00 of 1 votes (7 have, 92 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),95.2%,$650.00
Art Farmer – Farmer's Market,Jazz,1958,Hard Bop,"Rated 5.00 of 1 votes (27 have, 119 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$600.00
Blue Mitchell – Blue's Moods,Jazz,1960,Hard Bop,"Rated 4.36 of 11 votes (80 have, 270 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,"$1,000.09"
Cannonball Adderley – Somethin' Else,Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1086 have, 1716 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"$2,000.00"
"Sonny Rollins – A Night At The ""Village Vanguard""",Jazz,1967,"Hard Bop, Bop","Rated 4.75 of 4 votes (9 have, 34 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$999.99
The Horace Silver Quintet & Trio* – Blowin' The Blues Away,Jazz,Oct 1959,Hard Bop,"Rated 4.62 of 78 votes (682 have, 361 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"$1,430.00"
Eric Dolphy – Out To Lunch!,Jazz,Aug 1964,"Hard Bop, Free Jazz, Modal, Post Bop","Rated 4.82 of 71 votes (332 have, 997 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"$1,500.00"
Art Blakey & The Jazz Messengers – Like Someone In Love,Jazz,1967,Hard Bop,"Rated 5.00 of 4 votes (24 have, 39 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"$1,485.00"
Sonny Rollins Quintet Featuring Kenny Dorham – Sonny Rollins Quintet,Jazz,1954,"Bop, Hard Bop","Rated 5.00 of 1 votes (18 have, 91 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$669.99
Dizzy Reece – Star Bright,Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"$1,000.00"
"Max Roach – Deeds, Not Words",Jazz,1958,Hard Bop,"Rated 4.69 of 16 votes (135 have, 253 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),nan,$950.00
Cliff Jordan* & John Gilmore – Blowing In From Chicago,Jazz,1958,Hard Bop,"Rated 5.00 of 1 votes (5 have, 43 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.8%,"$2,799.95"
Dizzy Reece – Star Bright,Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.4%,$850.00
The Horace Silver Quintet – 6 Pieces Of Silver,Jazz,1957,Hard Bop,"Rated 4.60 of 25 votes (226 have, 158 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$600.00
Les McCann & The Jazz Crusaders* – Jazz Waltz,"Jazz, Funk / Soul",1963,"Soul-Jazz, Hard Bop","Rated 4.00 of 2 votes (52 have, 67 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),99.3%,"$1,520.00"
Dizzy Reece – Blues In Trinity,Jazz,1958,Hard Bop,"Rated 4.33 of 15 votes (55 have, 282 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,$999.99
Cannonball Adderley – Somethin' Else,Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1086 have, 1716 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$750.00
Sonny Rollins – Moving Out,Jazz,1958,"Bop, Hard Bop","Rated 4.25 of 4 votes (32 have, 69 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"$1,500.00"
John Coltrane – Blue Train,Jazz,1958,Hard Bop,"Rated 4.93 of 15 votes (71 have, 615 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,$750.00
Cannonball Adderley – Somethin' Else,Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1086 have, 1716 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,$850.00
Herbie Hancock – Inventions And Dimensions,Jazz,1964,"Free Improvisation, Hard Bop, Modal","Rated 4.52 of 42 votes (169 have, 829 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$850.00
The Dave Bailey Sextet – Bash!,Jazz,1961,Hard Bop,"Rated 4.67 of 3 votes (40 have, 133 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,"$1,599.99"
Kenny Dorham – The Arrival Of Kenny Dorham,Jazz,1960,Hard Bop,"Rated 5.00 of 1 votes (5 have, 55 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"$1,299.99"
John Coltrane – Blue Train,Jazz,1958,Hard Bop,"Rated 4.93 of 15 votes (71 have, 615 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,$900.00
Cannonball Adderley – Somethin' Else,Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1086 have, 1716 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.5%,$995.00
Dizzy Reece – Star Bright,Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,"$1,200.00"
Curtis Fuller – Bone & Bari,Jazz,1957,"Hard Bop, Cool Jazz","Rated 4.61 of 18 votes (55 have, 276 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"$1,200.00"
Sonny Red – Out Of The Blue,Jazz,1960,Hard Bop,"Rated 4.31 of 13 votes (72 have, 276 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"$1,000.00"
"Art Blakey Quintet – A Night At Birdland, Volume 1",Jazz,Jul 1956,Hard Bop,"Rated 4.60 of 20 votes (149 have, 365 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$775.00
Thad Jones / Kenny Burrell / Frank Wess / Mal Waldron / Paul Chambers (3) / Arthur Taylor* – After Hours,Jazz,1957,Hard Bop,"Rated 4.55 of 11 votes (64 have, 317 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,$666.00
Freddie Redd Quintet – Shades Of Redd,Jazz,1961,Hard Bop,"Rated 4.33 of 15 votes (77 have, 276 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),94.3%,"$1,500.00"
The Red Garland Quintet Featuring John Coltrane And Donald Byrd – Soul Junction,Jazz,Oct 1960,Hard Bop,"Rated 4.28 of 32 votes (218 have, 364 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$750.00
Larry Young – Unity,Jazz,1966,"Avant-garde Jazz, Hard Bop, Post Bop","Rated 4.67 of 30 votes (142 have, 603 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$701.00
Lee Morgan – The Cooker,Jazz,1958,Hard Bop,"Rated 4.54 of 24 votes (136 have, 650 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.7%,"$1,000.00"
Kenny Burrell – Introducing Kenny Burrell,"Jazz, Blues",1956,Hard Bop,"Rated 4.64 of 22 votes (120 have, 453 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,$700.00
Miles Davis – Diggin' With The Miles Davis Sextet,Jazz,1963,"Bop, Hard Bop","Rated 4.00 of 1 votes (27 have, 54 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$999.00
Sonny Rollins – Plus 4,Jazz,1956,Hard Bop,"Rated 4.59 of 29 votes (137 have, 277 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.9%,$889.00
Cannonball Adderley – Somethin' Else,Jazz,May 1958,"Bop, Hard Bop","No Rating Yet (7 have, 73 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"$1,200.00"
Pepper Adams – Motor City Scene,Jazz,1961,Hard Bop,"Rated 4.00 of 3 votes (22 have, 228 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$600.00
Lee Morgan – Search For The New Land,Jazz,1966,Hard Bop,"Rated 4.54 of 59 votes (361 have, 751 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"$2,000.00"
Dexter Gordon – Go!,Jazz,1962,Hard Bop,"Rated 4.67 of 52 votes (310 have, 741 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,$850.76
Hank Mobley With Donald Byrd And Lee Morgan – Hank Mobley With Donald Byrd And Lee Morgan,Jazz,1957,Hard Bop,"Rated 4.57 of 14 votes (65 have, 523 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"$1,850.00"
Art Blakey – Orgy In Rhythm (Volume One),"Jazz, Latin",May 1957,"Afro-Cuban Jazz, Hard Bop","Rated 4.10 of 31 votes (254 have, 343 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,$650.00
