Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Jackie McLean – Destination... Out!,Jazz,Oct 1964,"Hard Bop, Post Bop","Rated 4.53 of 43 votes (176 have, 493 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,$500.00
Nick Ayoub Quintet – The Montreal Scene,Jazz,1964,"Hard Bop, Cool Jazz","Rated 4.25 of 4 votes (44 have, 157 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$400.00
"Art Blakey Quintet – A Night At Birdland, Volume 1",Jazz,Jul 1956,Hard Bop,"Rated 4.60 of 20 votes (149 have, 365 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.5%,$450.00
John Coltrane – Blue Train,Jazz,1958,Hard Bop,"Rated 4.93 of 15 votes (71 have, 615 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.9%,$460.00
Hank Mobley – Mobley's Message,Jazz,1956,Hard Bop,"Rated 4.50 of 14 votes (70 have, 373 want)",Good Plus (G+),Sleeve: Very Good Plus (VG+),99.9%,$420.00
Dexter Gordon – Dexter Calling . . .,Jazz,Dec 1961,Hard Bop,"Rated 4.59 of 27 votes (156 have, 329 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,$400.00
Ike Quebec – It Might As Well Be Spring,Jazz,1962,Hard Bop,"Rated 4.54 of 13 votes (75 have, 155 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),99.9%,$500.00
Kenny Drew Quintet / Quartet* – This Is New,Jazz,1957,Hard Bop,"Rated 4.00 of 8 votes (47 have, 178 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.2%,$577.99
John Coltrane – My Favorite Things,Jazz,1961,"Hard Bop, Modal","Rated 4.00 of 1 votes (13 have, 89 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.2%,$500.00
"Thad Jones, Billy Mitchell, Al Grey, Tommy Flanagan, Paul Chambers (3), Elvin Jones – Motor City Scene",Jazz,1959,Hard Bop,"Rated 3.50 of 2 votes (20 have, 115 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$499.99
Dexter Gordon – Our Man In Paris,Jazz,1966,Hard Bop,"Rated 4.75 of 16 votes (111 have, 162 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.7%,$400.00
John Coltrane – A Love Supreme,Jazz,1965,"Free Jazz, Hard Bop, Modal","Rated 4.68 of 204 votes (1395 have, 3677 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.5%,$400.00
"Stanley Turrentine – Up At ""Minton's"", Vol. 2",Jazz,1961,Hard Bop,"Rated 4.55 of 11 votes (89 have, 167 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$400.00
Ike Quebec – Heavy Soul,Jazz,1962,Hard Bop,"Rated 4.77 of 26 votes (142 have, 252 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$499.99
The John Coltrane Quartet – Africa / Brass,Jazz,Sep 1961,"Free Jazz, Hard Bop, Modal","Rated 4.64 of 42 votes (428 have, 361 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.0%,$500.00
Hank Mobley – The Turnaround,Jazz,1965,Hard Bop,"Rated 4.66 of 35 votes (196 have, 373 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$499.00
Miles Davis Sextet* – Someday My Prince Will Come,Jazz,1961,Hard Bop,"Rated 4.42 of 57 votes (653 have, 268 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.7%,$475.00
Ike Quebec – Heavy Soul,Jazz,1962,Hard Bop,"Rated 4.77 of 26 votes (142 have, 252 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,$450.00
John Coltrane – Blue Train,Jazz,1959,Hard Bop,"Rated 4.75 of 69 votes (312 have, 988 want)",Very Good (VG),Sleeve: Very Good (VG),99.9%,$437.39
Hank Mobley Quintet* – Mobley's 2nd Message,Jazz,1957,Hard Bop,"Rated 4.50 of 8 votes (53 have, 165 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$500.00
Clifford Brown – Memorial Album,Jazz,Jul 1956,"Bop, Hard Bop","Rated 5.00 of 4 votes (28 have, 77 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.3%,$499.00
Donald Byrd – Off To The Races,Jazz,1959,Hard Bop,"Rated 4.74 of 23 votes (154 have, 466 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,$400.00
Bennie Green – Walkin' And Talkin',Jazz,1959,Hard Bop,"Rated 4.69 of 13 votes (86 have, 189 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$500.00
Dexter Gordon – Go!,Jazz,1962,Hard Bop,"Rated 4.67 of 52 votes (310 have, 741 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,$525.00
Sonny Rollins – Plus 4,Jazz,1957,Hard Bop,"Rated 4.50 of 2 votes (26 have, 111 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$490.00
"Stanley Turrentine – Up At ""Minton's"", Vol. 2",Jazz,1961,Hard Bop,"Rated 4.55 of 11 votes (89 have, 167 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.8%,$599.95
Herbie Hancock – Inventions And Dimensions,Jazz,1964,"Free Improvisation, Hard Bop, Modal","Rated 4.52 of 42 votes (169 have, 829 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,$475.00
Eric Dolphy – Out There,Jazz,1961,"Hard Bop, Free Jazz, Modal","Rated 5.00 of 1 votes (13 have, 105 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,$400.00
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Jazz,May 1956,Hard Bop,"Rated 4.62 of 29 votes (205 have, 409 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.3%,$449.80
Nat Adderley – Work Song,Jazz,1960,Hard Bop,"Rated 4.75 of 4 votes (37 have, 48 want)",Near Mint (NM or M-),Sleeve: Mint (M),99.7%,$419.60
Dexter Gordon – Go!,Jazz,1962,Hard Bop,"Rated 4.67 of 52 votes (310 have, 741 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$525.00
Charles Mingus – Mingus Ah Um,Jazz,14 Sep 1959,"Hard Bop, Bop","Rated 4.78 of 9 votes (69 have, 344 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.6%,$530.00
Horace Silver Quintet* – Horace Silver Quintet Volume 3,Jazz,1954,Hard Bop,"Rated 4.50 of 4 votes (35 have, 123 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.6%,$450.00
Jackie McLean – Let Freedom Ring,Jazz,Apr 1963,Hard Bop,"Rated 4.56 of 18 votes (98 have, 250 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.6%,$500.00
John Coltrane – Lush Life,Jazz,Jan 1961,Hard Bop,"Rated 4.51 of 76 votes (573 have, 640 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,$449.99
Miles Davis – Jazz Track,Jazz,Nov 1959,Hard Bop,"Rated 4.67 of 9 votes (80 have, 83 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,$425.00
Sonny Clark Trio – Sonny Clark Trio,Jazz,Apr 1960,Hard Bop,"Rated 4.70 of 10 votes (38 have, 203 want)",Good Plus (G+),Sleeve: Very Good (VG),100.0%,$425.00
Hank Mobley – Roll Call,Jazz,1960,Hard Bop,"Rated 4.39 of 18 votes (112 have, 513 want)",Good Plus (G+),Sleeve: Very Good Plus (VG+),99.8%,$400.00
Johnny Griffin – The Little Giant,Jazz,1959,Hard Bop,"Rated 4.63 of 8 votes (73 have, 128 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$400.00
Horace Silver Quintet* – Horace Silver Quintet Volume 3,Jazz,1954,Hard Bop,"Rated 4.50 of 4 votes (35 have, 123 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.6%,$500.00
Donald Byrd – Byrd In Paris,Jazz,1960,Hard Bop,"Rated 5.00 of 1 votes (7 have, 92 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.8%,$571.62
Hank Mobley – Workout,Jazz,1961,Hard Bop,"Rated 4.53 of 19 votes (111 have, 505 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),97.1%,$455.00
Bennie Green – Soul Stirrin',Jazz,1958,Hard Bop,"Rated 4.72 of 18 votes (144 have, 258 want)",Mint (M),Sleeve: Very Good Plus (VG+),99.9%,$513.69
Booker Ervin With Dexter Gordon – Setting The Pace,Jazz,1967,Hard Bop,"Rated 3.82 of 11 votes (114 have, 90 want)",Mint (M),Sleeve: Mint (M),99.4%,$500.00
Jackie McLean – New Soil,Jazz,1959,Hard Bop,"Rated 4.81 of 21 votes (139 have, 330 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.3%,$439.99
Herbie Nichols – The Prophetic Herbie Nichols Vol. 2,Jazz,1955,Hard Bop,"Rated 4.80 of 5 votes (23 have, 131 want)",Good Plus (G+),Sleeve: Very Good (VG),99.9%,$550.00
Clifford Brown – Memorial Album,Jazz,Jul 1956,"Bop, Hard Bop","Rated 4.38 of 26 votes (167 have, 287 want)",Very Good (VG),Sleeve: Very Good (VG),97.2%,$500.00
The John Coltrane Quartet – Africa / Brass,Jazz,1961,"Free Jazz, Hard Bop, Modal","Rated 5.00 of 1 votes (18 have, 196 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$599.00
"Tommy Flanagan, John Coltrane, Kenny Burrell, Idrees Sulieman – The Cats",Jazz,1959,Hard Bop,"Rated 4.43 of 21 votes (121 have, 487 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,$425.00
Gigi Gryce Featuring Richard Williams – The Rat Race Blues,"Jazz, Blues",1964,"Hard Bop, Modal","Rated 5.00 of 1 votes (2 have, 14 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$425.00
Jackie McLean – Makin' The Changes,Jazz,1960,Hard Bop,"Rated 4.60 of 15 votes (90 have, 181 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$500.00
Tubby Hayes And The Jazz Couriers Featuring Ronnie Scott – The Jazz Couriers,Jazz,1958,Hard Bop,"Rated 4.33 of 6 votes (25 have, 136 want)",Very Good (VG),Sleeve: Very Good (VG),95.2%,$468.00
"Sonny Rollins – A Night At The ""Village Vanguard""",Jazz,Dec 1957,"Hard Bop, Bop","Rated 4.61 of 44 votes (295 have, 496 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.8%,$550.50
The Miles Davis Quintet – Steamin' With The Miles Davis Quintet,Jazz,1961,Hard Bop,"Rated 4.57 of 83 votes (836 have, 645 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.5%,$450.00
Benny Golson – Gone With Golson,Jazz,1960,Hard Bop,"Rated 4.70 of 10 votes (66 have, 165 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,$500.00
Dexter Gordon – A Swingin' Affair,Jazz,1962,Hard Bop,"Rated 4.63 of 8 votes (108 have, 195 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$425.00
Chet Baker – Chet,Jazz,1963,"Hard Bop, Cool Jazz","Rated 5.00 of 5 votes (20 have, 203 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$419.00
The Horace Silver Quintet – Finger Poppin' With The Horace Silver Quintet,Jazz,1959,"Bop, Hard Bop","Rated 4.44 of 48 votes (345 have, 300 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),95.2%,$418.00
Eric Dolphy – Out To Lunch!,Jazz,Aug 1964,"Hard Bop, Free Jazz, Modal, Post Bop","Rated 4.62 of 85 votes (418 have, 1185 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$502.64
Charles Mingus – Mingus Ah Um,Jazz,1959,"Hard Bop, Bop","Rated 4.38 of 16 votes (82 have, 467 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$499.99
Miles Davis All Stars – Walkin',Jazz,1957,Hard Bop,"Rated 4.50 of 30 votes (311 have, 340 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$499.99
"Stanley Turrentine – Up At ""Minton's"", Vol. 2",Jazz,1961,Hard Bop,"Rated 4.55 of 11 votes (89 have, 167 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$550.00
Sonny Rollins – Tour De Force,Jazz,1958,"Bop, Hard Bop","Rated 4.53 of 15 votes (88 have, 155 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$425.00
Sonny Rollins – Sonny Rollins Volume 1,Jazz,1966,"Bop, Hard Bop","Rated 4.75 of 4 votes (18 have, 73 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,$411.77
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Jazz,May 1956,Hard Bop,"Rated 4.62 of 29 votes (205 have, 409 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.6%,$468.00
Donald Byrd – Byrd In Flight,Jazz,1966,"Hard Bop, Latin Jazz","Rated 5.00 of 1 votes (0 have, 9 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$445.15
"Tommy Flanagan, John Coltrane, Kenny Burrell, Idrees Sulieman – The Cats",Jazz,1959,Hard Bop,"Rated 4.43 of 21 votes (121 have, 487 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,$499.00
Wayne Shorter – Introducing Wayne Shorter,Jazz,1959,Hard Bop,"Rated 3.85 of 13 votes (108 have, 241 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$400.00
Jackie McLean – It's Time!,Jazz,Jun 1965,Hard Bop,"Rated 4.53 of 19 votes (128 have, 365 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,$400.00
