,link_stub,artist,title,sleeve,rlabel,rformat,country,release_dt,genre,style,rating,media,price,votes,haves,wants
Sonny Rollins - Plus 4,/sell/item/1211868896,Sonny Rollins,Plus 4,Near Mint (NM or M-),Prestige,"Vinyl, LP, Album, Mono",US,1956-01-14,Jazz,Hard Bop,4.59,Near Mint (NM or M-),889,29,137,277
Various - Summer Jazz In Tokyo,/sell/item/896749077,Various,Summer Jazz In Tokyo,Very Good Plus (VG+),Canyon,"2 ×
            
                                                                                                                                                                                                                                                                                                                                                            
            Vinyl, LP, Album, Gatefold",Japan,1970-11-14,Jazz,"Free Jazz, Hard Bop, Post Bop, Modal",5.0,Near Mint (NM or M-),850,3,7,91
Dexter Gordon - Go!,/sell/item/786272879,Dexter Gordon,Go!,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1962-01-14,Jazz,Hard Bop,4.67,Very Good (VG),850,52,308,742
Herbie Hancock - Inventions And Dimensions,/sell/item/1111920333,Herbie Hancock,Inventions And Dimensions,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1964-01-14,Jazz,"Free Improvisation, Hard Bop, Modal",4.52,Very Good Plus (VG+),850,42,169,829
Eric Dolphy Quintet - Outward Bound,/sell/item/425649912,Eric Dolphy Quintet,Outward Bound,Mint (M),New Jazz,"Vinyl, LP, Album, Mono",US,1960-01-14,Jazz,"Hard Bop, Post Bop",4.64,Near Mint (NM or M-),850,42,197,446
Sonny Rollins Quintet - Plays,/sell/item/961258508,Sonny Rollins Quintet,Plays,Good Plus (G+),Period Records,"Vinyl, LP, Album, Mono",US,1956-01-14,Jazz,"Hard Bop, Bop",4.0,Very Good (VG),800,3,22,126
Clifford Brown - Memorial Album,/sell/item/1088950414,Clifford Brown,Memorial Album,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Compilation, Mono",US,1956-07-14,Jazz,"Bop, Hard Bop",5.0,Near Mint (NM or M-),798,4,28,77
Sonny Rollins - Volume 2,/sell/item/1088965681,Sonny Rollins,Volume 2,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Reissue, Mono",US,1958-01-14,Jazz,Hard Bop,5.0,Very Good Plus (VG+),775,7,29,69
"Art Blakey Quintet - A Night At Birdland, Volume 1",/sell/item/590478863,Art Blakey Quintet,"A Night At Birdland, Volume 1",Very Good Plus (VG+),Blue Note,"Vinyl, LP, Compilation, Mono",US,1956-07-14,Jazz,Hard Bop,4.6,Very Good Plus (VG+),775,20,149,365
The Jazz Messengers* - At The Cafe Bohemia Volume 2,/sell/item/1005781579,The Jazz Messengers*,At The Cafe Bohemia Volume 2,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1956-05-14,Jazz,Hard Bop,4.62,Near Mint (NM or M-),770,29,205,409
The Red Garland Quintet Featuring John Coltrane And Donald Byrd - Soul Junction,/sell/item/1172168175,The Red Garland Quintet Featuring John Coltrane And Donald Byrd,Soul Junction,Near Mint (NM or M-),Prestige,"Vinyl, LP, Album, Mono, Deep groove",US,1960-10-14,Jazz,Hard Bop,4.28,Near Mint (NM or M-),750,32,218,364
Herbie Nichols Trio - Herbie Nichols Trio,/sell/item/786298831,Herbie Nichols Trio,Herbie Nichols Trio,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono",US,1956-01-14,Jazz,"Hard Bop, Bop",4.75,Very Good (VG),750,12,67,293
Larry Young - Unity,/sell/item/1060924046,Larry Young,Unity,Near Mint (NM or M-),Blue Note,"Vinyl, LP, Album, Mono",US,1966-01-14,Jazz,"Avant-garde Jazz, Hard Bop, Post Bop",4.67,Near Mint (NM or M-),701,30,141,603
Sonny Rollins Quartet - Tenor Madness,/sell/item/1065252307,Sonny Rollins Quartet,Tenor Madness,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album, Mono",US,1956-11-14,Jazz,"Bop, Hard Bop",4.42,Very Good Plus (VG+),700,26,181,335
The Miles Davis Quintet - Workin' With The Miles Davis Quintet,/sell/item/1217172534,The Miles Davis Quintet,Workin' With The Miles Davis Quintet,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album, Mono, Deep groove",US,1960-01-14,Jazz,"Hard Bop, Bop",4.62,Very Good Plus (VG+),700,101,811,1032
Kenny Burrell - Introducing Kenny Burrell,/sell/item/1170363126,Kenny Burrell,Introducing Kenny Burrell,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1956-01-14,"Jazz, Blues",Hard Bop,4.64,Very Good Plus (VG+),700,22,120,454
Sonny Rollins Quintet Featuring Kenny Dorham - Sonny Rollins Quintet,/sell/item/1129507815,Sonny Rollins Quintet Featuring Kenny Dorham,Sonny Rollins Quintet,Very Good (VG),Prestige,"Vinyl, LP, 10"", Album, Mono",US,1954-01-14,Jazz,"Bop, Hard Bop",5.0,Very Good Plus (VG+),669,1,18,91
"Coleman Hawkins With Eddie ""Lockjaw"" Davis - Night Hawk",/sell/item/978994346,"Coleman Hawkins With Eddie ""Lockjaw"" Davis",Night Hawk,Near Mint (NM or M-),Prestige Swingville,"Vinyl, LP, Album, Mono",US,1961-01-14,Jazz,Hard Bop,4.31,Very Good Plus (VG+),666,13,72,93
Jerome Richardson - Midnight Oil,/sell/item/979002906,Jerome Richardson,Midnight Oil,Near Mint (NM or M-),New Jazz,"Vinyl, LP, Album, Mono",US,1961-01-14,Jazz,Hard Bop,4.6,Very Good Plus (VG+),666,10,34,131
Thad Jones / Kenny Burrell / Frank Wess / Mal Waldron / Paul Chambers (3) / Arthur Taylor* - After Hours,/sell/item/978994206,Thad Jones / Kenny Burrell / Frank Wess / Mal Waldron / Paul Chambers (3) / Arthur Taylor*,After Hours,Near Mint (NM or M-),Prestige,"Vinyl, LP, Album, Mono",US,1957-01-14,Jazz,Hard Bop,4.55,Very Good Plus (VG+),666,11,64,317
Donald Byrd - Byrd In Paris,/sell/item/568495297,Donald Byrd,Byrd In Paris,Very Good Plus (VG+),Signature (4),"Vinyl, LP, Album, Mono",US,1960-01-14,Jazz,Hard Bop,5.0,Near Mint (NM or M-),650,1,7,92
Jørgen Leth Quintet / Igor Čaplinski - Jazz Jamboree 1962 Vol.4,/sell/item/1032768463,Jørgen Leth Quintet / Igor Čaplinski,Jazz Jamboree 1962 Vol.4,Near Mint (NM or M-),Polskie Nagrania Muza,"Vinyl, LP, 10"", Mono, Export version",Poland,1962-01-14,Jazz,Hard Bop,5.0,Near Mint (NM or M-),630,3,25,63
Miles Davis Sextet* - Someday My Prince Will Come,/sell/item/1140325362,Miles Davis Sextet*,Someday My Prince Will Come,Mint (M),Columbia,"Vinyl, LP, Album, Stereo",US,1961-01-14,Jazz,Hard Bop,4.42,Mint (M),600,57,652,269
Red Garland - Red In Bluesville,/sell/item/1169495709,Red Garland,Red In Bluesville,Near Mint (NM or M-),Prestige,"Vinyl, LP, Album, Mono",US,1959-01-14,"Jazz, Blues",Hard Bop,4.67,Near Mint (NM or M-),600,12,153,137
Pepper Adams - Motor City Scene,/sell/item/1154987570,Pepper Adams,Motor City Scene,Very Good (VG),Bethlehem Records,"Vinyl, LP, Album",US,1961-01-14,Jazz,Hard Bop,4.0,Very Good (VG),600,3,22,228
Art Farmer - Farmer's Market,/sell/item/1206296462,Art Farmer,Farmer's Market,Very Good (VG),Prestige,"Vinyl, LP, Album, Mono",US,1958-01-14,Jazz,Hard Bop,5.0,Very Good (VG),600,1,27,119
The Horace Silver Quintet - 6 Pieces Of Silver,/sell/item/642413964,The Horace Silver Quintet,6 Pieces Of Silver,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Repress, Mono",US,1957-01-14,Jazz,Hard Bop,4.6,Near Mint (NM or M-),600,25,226,158
Benny Golson - Gone With Golson,/sell/item/1009502338,Benny Golson,Gone With Golson,Near Mint (NM or M-),Prestige,"Vinyl, LP, Album, Mono",US,1960-01-14,Jazz,Hard Bop,4.67,Very Good Plus (VG+),599,9,65,165
